Total number of intervals = 90
Timestamp start: 1715943774206
Timestamp end: 1715944674861

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      384.6   382.9    68.9   138.1   162.5   333.0   414.3   464.2   502.7   550.2   619.1   738.8  1220.6  4283.3 11189.8  99026.9    99068
read      346.4   285.1    68.9   127.4   145.5   310.6   391.8   438.7   471.9   512.7   565.6   645.2   987.6  2557.0  9853.6  51311.2    51267
read      652.5  2248.6    74.4   130.4   151.9   332.1   415.6   462.1   494.8   533.4   586.4   750.9  9640.8 32166.1 49105.5  11933.5    11822
read      403.7   503.7    68.9   140.0   164.7   339.0   423.2   473.3   513.1   564.8   637.5   776.3  1619.8  6391.0 20361.2  97354.7    97494
read      382.0   589.7    68.9   134.9   157.3   319.2   397.7   446.8   484.2   531.2   593.5   705.0  1229.8  7796.1 29332.6  97365.5    97350
read      351.2   370.2    68.9   126.0   144.2   307.2   389.1   436.5   471.2   513.8   567.5   652.0  1198.4  3461.4 12406.4  55440.1    55460
read      373.5   534.7    68.9   130.0   150.5   307.5   388.0   436.7   473.9   521.5   584.3   693.9  1619.3  5818.5 29717.3  86031.2    85984
read      367.3   469.6    63.8   129.6   149.2   304.4   383.7   433.2   470.8   517.7   580.2   690.3  1590.3  4972.8 15969.0  81999.6    82043
read      357.7   335.9    68.9   127.3   145.7   312.4   395.9   445.2   481.2   524.8   580.2   669.5  1288.1  3930.3 10039.1  52913.6    52873
read      624.7  2035.9    74.4   129.7   149.7   339.1   432.4   487.1   523.9   565.1   619.6   756.0  9256.8 31795.0 43356.3  13906.2    13911
read      355.9   411.7    68.9   125.0   143.1   305.4   386.0   434.0   470.0   512.8   568.8   661.7  1328.5  5390.1 11319.7  49991.5    49984
read      454.5  1457.3    80.4   140.5   164.8   320.2   380.3   414.9   439.1   468.3   507.5   582.4  3747.6 29786.9 46177.0   9276.5     9274
read      433.0   574.8    68.9   128.8   148.0   323.5   459.8   566.0   643.4   722.5   815.9   946.6  1273.0  6798.5 30442.5  27232.7    27187
read      472.1  1226.6    68.9   127.6   146.8   333.1   439.4   506.6   550.4   598.3   654.6   746.1  3832.2 18192.9 36956.6  18669.8    18735
read      369.7   414.2    68.9   132.5   153.3   313.6   394.8   444.2   481.8   528.0   588.3   693.4  1423.3  5029.8 10452.7  86321.5    86505
read      354.3   353.3    68.9   131.0   151.6   305.1   382.7   430.9   467.2   511.3   571.1   669.8  1198.6  4282.0 10081.4  93067.5    93039
read      356.3   430.1    68.9   128.5   147.6   303.3   383.6   432.8   469.0   512.7   570.3   663.6  1317.5  4628.8 17715.3  76142.3    75999
read      380.0   648.3    68.9   124.6   142.5   301.3   388.3   443.8   483.9   533.3   603.4   805.4  1366.7  7939.2 31899.7  32295.8    32324
read      356.7   362.6    68.9   129.6   149.6   305.0   384.1   432.4   469.0   514.2   574.6   673.0  1343.3  4332.5 11004.6  84427.9    84255
