#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,404.6,399.2,187.4,254.3,275.3,379.1,414.7,433.2,447.3,462.7,483.2,513.9,646.5,5461.8,15978.8,4967.2,5000,1714239446116,1714239451542
read,434.7,410.3,173.5,243.5,261.7,422.3,481.6,509.6,530.4,551.6,581.0,622.1,719.5,4599.8,18432.6,10079.0,10000,1714239453048,1714239458425
read,460.5,353.3,173.5,241.8,261.9,440.9,523.3,563.3,588.9,619.4,655.6,709.2,833.8,4045.2,14814.7,14893.7,15000,1714239459930,1714239465252
read,466.9,255.7,160.7,235.2,256.3,443.5,531.9,580.5,613.6,649.2,691.4,745.8,900.2,1559.3,11971.5,19896.2,20000,1714239466757,1714239472089
read,489.4,278.8,173.5,234.1,254.4,464.7,552.9,605.1,642.2,686.4,736.4,821.1,997.8,1474.1,9582.2,25065.6,25000,1714239473594,1714239478916
read,492.5,277.9,173.5,230.9,250.2,465.4,558.7,613.0,651.8,696.5,749.8,853.8,1037.4,1596.2,9488.3,30014.8,30000,1714239480419,1714239485721
read,496.1,257.3,160.7,231.3,250.5,470.7,565.0,619.4,659.4,706.7,768.6,872.0,1075.3,1496.7,8657.9,34847.4,35000,1714239487224,1714239492517
read,499.7,289.4,173.5,234.3,252.9,469.2,570.1,626.4,668.2,716.0,779.4,881.8,1083.5,1851.2,9505.1,39847.8,40000,1714239494022,1714239499323
read,500.7,314.2,173.5,234.9,254.1,465.0,567.4,625.1,668.3,718.9,785.7,890.0,1088.5,2282.4,12481.9,45049.0,45000,1714239500826,1714239506131
read,487.6,297.0,173.5,231.4,250.3,443.6,549.4,613.6,660.7,714.6,781.8,884.2,1073.2,1523.7,11963.6,49934.2,50000,1714239507635,1714239512938
read,495.9,296.6,173.5,236.5,256.2,448.9,552.3,615.4,662.4,719.6,797.8,912.6,1111.0,2227.5,12395.2,55033.2,55000,1714239514442,1714239519756
read,499.2,293.4,173.5,238.4,259.7,456.8,558.9,617.4,661.4,715.3,790.3,903.5,1095.0,1557.9,10604.2,60005.6,60000,1714239521259,1714239526555
read,485.2,262.5,160.7,237.0,258.5,443.0,540.0,595.9,639.4,695.6,771.1,878.9,1065.9,1473.3,8324.0,64891.0,65000,1714239528059,1714239533358
read,507.9,300.5,173.5,245.3,272.5,461.0,554.7,615.1,663.2,724.3,806.7,917.2,1118.3,1555.6,11793.5,69868.9,70000,1714239534862,1714239540178
read,881.6,480.0,187.4,526.0,567.3,743.1,874.2,1127.2,1222.0,1305.0,1386.1,1478.9,1627.7,5055.3,17274.5,72904.4,75000,1714239541683,1714239546986
read,811.7,414.2,187.4,482.3,519.0,673.8,948.5,1073.4,1130.0,1181.8,1240.5,1315.6,1460.8,4239.1,15226.2,77720.7,80000,1714239548490,1714239553790
read,865.3,433.5,187.4,547.8,576.7,712.1,856.3,1164.3,1227.4,1281.8,1341.4,1417.5,1567.9,4031.5,15508.7,75581.1,85000,1714239555294,1714239560592
read,890.9,447.0,173.5,566.6,599.8,729.1,855.6,1208.2,1271.3,1326.1,1378.8,1457.8,1591.2,5070.6,15872.8,73892.2,90000,1714239562097,1714239567393
read,908.6,478.2,202.4,580.4,612.2,742.1,859.8,1226.2,1299.0,1351.9,1409.8,1477.4,1608.0,5817.7,16203.9,72641.5,95000,1714239568897,1714239574192
read,884.1,420.7,173.5,567.7,600.2,723.8,842.0,1206.1,1267.4,1320.8,1371.5,1447.8,1579.2,4001.8,14130.4,74374.7,100000,1714239575697,1714239581000
read,885.1,465.8,187.4,558.8,592.8,720.4,969.7,1203.6,1256.0,1306.7,1355.6,1425.8,1559.5,5138.6,16243.7,74484.2,105000,1714239582504,1714239587811
read,880.4,446.1,218.6,560.9,594.8,721.3,849.5,1194.5,1254.0,1310.5,1364.0,1441.0,1572.9,4371.3,15957.7,74816.0,110000,1714239589315,1714239594613
read,872.0,452.8,173.5,548.3,577.1,718.9,871.1,1166.6,1229.3,1284.9,1348.6,1433.3,1580.9,4616.8,16647.7,75558.7,115000,1714239596117,1714239601416
read,900.6,480.1,187.4,556.6,595.1,748.2,866.1,1171.2,1263.2,1342.0,1418.1,1494.3,1615.8,5264.3,16634.3,73286.4,120000,1714239602920,1714239608219
read,866.4,439.7,160.7,538.1,570.6,716.3,880.7,1152.6,1220.4,1280.5,1345.2,1427.5,1573.4,4072.7,15953.6,75983.6,125000,1714239609725,1714239615028
