time,CPU0,CPU1,CPU_total
1714239241143.8794,0.0,0.0,0.0
1714239242145.0776,0.0,1.0,1.0
1714239243146.361,0.0,0.0,0.0
1714239244147.6497,1.0,1.0,2.0
1714239245148.9277,0.0,0.0,0.0
1714239246150.198,2.1,1.0,3.1
1714239247151.4758,2.0,3.2,5.2
1714239248152.8066,3.0,5.1,8.1
1714239249154.0935,1.0,1.0,2.0
1714239250155.3599,3.0,3.1,6.1
1714239251156.688,2.0,2.0,4.0
1714239252157.2402,0.0,0.0,0.0
1714239253158.588,6.7,27.9,34.6
1714239254159.6335,21.6,24.2,45.8
1714239255160.9531,32.0,5.0,37.0
1714239256162.2417,24.6,16.2,40.8
1714239257163.5427,17.5,28.5,46.0
1714239258164.9238,3.0,8.6,11.6
1714239259166.2388,1.0,0.0,1.0
1714239260167.3105,43.4,16.1,59.5
1714239261168.7332,45.9,11.2,57.099999999999994
1714239262170.007,42.3,17.9,60.199999999999996
1714239263171.2905,12.1,43.3,55.4
1714239264172.7776,33.8,27.4,61.199999999999996
1714239265174.0598,4.9,2.0,6.9
1714239266175.352,3.0,9.3,12.3
1714239267176.7644,42.4,34.8,77.19999999999999
1714239268178.058,13.0,53.8,66.8
1714239269179.3523,8.8,55.8,64.6
1714239270180.8225,53.5,15.5,69.0
1714239271182.0845,30.4,35.6,66.0
1714239272183.3853,1.0,0.0,1.0
1714239273184.7644,25.4,6.7,32.1
1714239274186.1318,56.2,18.0,74.2
1714239275187.4092,50.0,26.9,76.9
1714239276188.9333,61.6,8.7,70.3
1714239277190.2185,25.6,52.0,77.6
1714239278191.4954,12.3,46.2,58.5
1714239279192.8145,1.0,0.0,1.0
1714239280194.0864,38.3,2.0,40.3
1714239281195.3706,62.7,10.5,73.2
1714239282196.8296,54.4,32.3,86.69999999999999
1714239283198.1135,40.9,44.4,85.3
1714239284199.4343,54.7,31.5,86.2
1714239285200.9941,37.5,6.9,44.4
1714239286202.296,0.0,1.0,1.0
1714239287203.6294,15.5,50.4,65.9
1714239288205.0212,23.7,64.7,88.4
1714239289206.3235,13.5,65.2,78.7
