time,CPU0,CPU1,CPU_total
1714237589320.0454,0.0,0.0,0.0
1714237590321.2358,0.0,0.0,0.0
1714237591322.5007,0.0,0.0,0.0
1714237592323.6116,2.0,2.0,2.0
1714237593324.873,0.0,1.0,0.0
1714237594326.1467,7.9,1.0,7.9
1714237595327.4312,5.2,1.0,5.2
1714237596328.7983,4.2,0.0,4.2
1714237597330.0803,6.2,3.0,6.2
1714237598331.365,5.2,1.0,5.2
1714237599332.7764,2.1,1.0,2.1
1714237600334.053,0.0,0.0,0.0
1714237601335.3281,26.9,4.9,26.9
1714237602336.7,35.1,5.0,35.1
1714237603337.9673,32.8,10.4,32.8
1714237604339.2375,31.7,4.9,31.7
1714237605339.6182,37.3,7.7,37.3
1714237606340.9827,8.5,0.0,8.5
1714237607342.2537,2.0,2.0,2.0
1714237608343.5454,46.9,4.1,46.9
1714237609344.91,48.0,12.3,48.0
1714237610346.1624,45.8,10.4,45.8
1714237611347.5393,47.7,12.3,47.7
1714237612348.8955,47.3,10.5,47.3
1714237613350.2114,0.0,1.0,0.0
1714237614351.5308,16.1,2.0,16.1
1714237615352.9397,57.1,17.9,57.1
1714237616354.2007,56.8,17.4,56.8
1714237617355.5068,57.1,10.3,57.1
1714237618356.8733,56.8,6.8,56.8
1714237619358.1711,50.0,11.1,50.0
1714237620359.4521,0.0,0.0,0.0
1714237621360.7517,28.7,10.3,28.7
1714237622362.019,60.2,21.4,60.2
1714237623363.2896,60.2,24.4,60.2
1714237624364.845,59.8,27.0,59.8
1714237625366.1233,59.9,18.9,59.9
1714237626367.401,44.3,9.5,44.3
1714237627368.7212,1.0,0.0,1.0
1714237628370.024,40.5,14.4,40.5
1714237629371.3064,63.5,24.6,63.5
1714237630372.6582,62.4,21.4,62.4
1714237631373.9885,63.1,20.4,63.1
1714237632375.2686,62.8,21.4,62.8
1714237633376.6091,37.8,15.9,37.8
1714237634377.915,0.0,0.0,0.0
1714237635379.2063,54.1,16.1,54.1
1714237636379.6704,67.1,22.9,67.1
1714237637381.0664,66.7,24.4,66.7
1714237638382.354,66.9,25.8,66.9
1714237639383.61,66.7,21.4,66.7
1714237640385.082,24.1,7.6,24.1
