p95,QPS,target,ts_start,ts_end,cpu_usage
526.7,4974.6,5000,1714239646243,1714239651687,12.500000000000002
627.7,9955.5,10000,1714239653191,1714239658581,41.31999999999999
684.1,14936.4,15000,1714239660085,1714239665429,59.24000000000001
761.8,19842.6,20000,1714239666933,1714239672261,71.45
833.3,25074.8,25000,1714239673765,1714239679105,79.45
872.7,29986.1,30000,1714239680609,1714239685931,81.125
869.4,35001.4,35000,1714239687436,1714239692743,83.075
886.6,39923.8,40000,1714239694247,1714239699555,86.6
890.0,44972.0,45000,1714239701059,1714239706360,86.5
910.0,50055.8,50000,1714239707865,1714239713179,95.8
883.5,55173.8,55000,1714239714684,1714239719982,97.725
887.7,60156.9,60000,1714239721486,1714239726793,105.075
872.4,64822.8,65000,1714239728299,1714239733604,105.9
1223.0,70130.0,70000,1714239735109,1714239740424,119.66
1439.8,74328.4,75000,1714239741928,1714239747229,121.95
1377.7,76038.4,80000,1714239748734,1714239754041,126.6
1489.1,72070.0,85000,1714239755546,1714239760853,124.75
1474.8,72987.9,90000,1714239762357,1714239767656,117.55999999999999
1482.0,72527.4,95000,1714239769160,1714239774467,123.97999999999999
1499.3,71811.6,100000,1714239775970,1714239781267,117.925
1478.9,73187.0,105000,1714239782772,1714239788083,121.675
1422.1,75535.9,110000,1714239789588,1714239794881,129.45000000000002
1477.4,73591.9,115000,1714239796385,1714239801697,117.48000000000002
1474.0,73074.2,120000,1714239803201,1714239808509,122.54
1424.7,75425.0,125000,1714239810013,1714239815324,127.625
