p95,QPS,target,ts_start,ts_end,cpu_usage
533.2,5001.6,5000,1714237872450,1714237877882,4.9799999999999995
623.1,9999.6,10000,1714237879385,1714237884771,29.68
690.4,15042.6,15000,1714237886275,1714237891591,46.660000000000004
747.6,19996.0,20000,1714237893096,1714237898422,55.375
807.3,24952.8,25000,1714237899927,1714237905255,59.725
827.7,30161.8,30000,1714237906761,1714237912084,62.449999999999996
853.7,34889.4,35000,1714237913589,1714237918890,65.375
908.9,39971.6,40000,1714237920395,1714237925690,68.5
917.3,44976.4,45000,1714237927194,1714237932510,73.0
900.0,50065.0,50000,1714237934013,1714237939329,76.075
908.3,54976.0,55000,1714237940833,1714237946142,80.05000000000001
901.7,60028.0,60000,1714237947646,1714237952956,85.275
932.5,65251.0,65000,1714237954460,1714237959840,91.4
944.1,69861.2,70000,1714237961347,1714237967102,89.08
1487.7,71117.6,75000,1714237968608,1714237974379,100.0
1368.5,75749.4,80000,1714237975885,1714237981640,97.8
1462.6,73295.2,85000,1714237983145,1714237988441,100.0
1370.7,76938.2,90000,1714237989945,1714237995247,100.0
1321.2,80317.2,95000,1714237996752,1714238002055,100.0
1618.8,67077.6,100000,1714238003559,1714238008868,96.96000000000001
1622.1,66968.2,105000,1714238010373,1714238015672,99.2
1564.7,69764.2,110000,1714238017177,1714238022477,100.0
1377.3,76884.2,115000,1714238023982,1714238029285,100.0
1484.4,72099.2,120000,1714238030789,1714238036096,100.0
1501.8,71646.0,125000,1714238037601,1714238042900,97.2
