p95,QPS,target,ts_start,ts_end,cpu_usage
529.1,4931.4,5000,1714238272978,1714238278414,3.425
613.2,9966.4,10000,1714238279919,1714238285318,26.6
716.8,15070.2,15000,1714238286821,1714238292143,48.375
744.8,20158.8,20000,1714238293647,1714238298978,54.31999999999999
802.9,24943.2,25000,1714238300483,1714238305801,59.875
838.9,30018.0,30000,1714238307305,1714238312635,62.775000000000006
872.2,35112.0,35000,1714238314139,1714238319448,65.975
872.5,39901.4,40000,1714238320952,1714238326247,68.1
884.5,44859.0,45000,1714238327752,1714238333054,70.26000000000002
848.8,49946.0,50000,1714238334558,1714238339854,72.67999999999999
871.9,55058.7,55000,1714238341359,1714238346660,78.27499999999999
874.8,59811.8,60000,1714238348163,1714238353462,84.0
825.8,65104.8,65000,1714238354966,1714238360268,84.725
1128.2,70072.0,70000,1714238361772,1714238367074,95.32000000000001
1558.2,69106.0,75000,1714238368578,1714238373872,100.0
1428.6,73993.0,80000,1714238375376,1714238380696,100.0
1592.5,68522.6,85000,1714238382200,1714238387496,100.0
1568.1,69394.2,90000,1714238389000,1714238394297,100.0
1556.6,69601.8,95000,1714238395801,1714238401109,97.58
1529.7,70456.4,100000,1714238402614,1714238407917,100.0
1354.6,78218.4,105000,1714238409421,1714238414713,100.0
1455.3,73396.6,110000,1714238416218,1714238421517,100.0
1585.3,68703.8,115000,1714238423022,1714238428318,100.0
1480.5,72442.6,120000,1714238429823,1714238435134,98.02000000000001
1483.1,72495.0,125000,1714238436639,1714238441938,100.0
