time,CPU0,CPU1,CPU_total
1714238068251.5886,0.0,0.0,0.0
1714238069252.7756,0.0,0.0,0.0
1714238070254.053,0.0,0.0,0.0
1714238071255.3308,1.0,0.0,1.0
1714238072256.6038,1.0,0.0,1.0
1714238073257.9119,4.1,2.0,4.1
1714238074259.2002,6.2,1.0,6.2
1714238075259.612,3.2,1.0,3.2
1714238076260.896,4.2,1.0,4.2
1714238077262.1863,5.2,0.0,5.2
1714238078263.4934,5.0,2.0,5.0
1714238079264.7913,0.0,0.0,0.0
1714238080266.087,19.6,3.0,19.6
1714238081267.372,32.5,4.9,32.5
1714238082268.7766,31.5,4.0,31.5
1714238083270.0603,34.4,5.0,34.4
1714238084271.3281,34.1,5.8,34.1
1714238085271.7788,13.0,1.0,13.0
1714238086273.1072,0.0,0.0,0.0
1714238087274.2515,43.0,11.2,43.0
1714238088275.5493,47.3,10.3,47.3
1714238089276.9304,45.6,6.9,45.6
1714238090278.1897,47.0,9.4,47.0
1714238091279.4663,47.4,8.6,47.4
1714238092280.8308,10.3,2.0,10.3
1714238093282.0867,2.0,0.0,2.0
1714238094283.3687,53.5,11.2,53.5
1714238095284.843,55.3,9.6,55.3
1714238096285.9963,53.7,10.4,53.7
1714238097287.2842,52.6,11.3,52.6
1714238098287.6155,54.7,10.4,54.7
1714238099288.9048,0.0,0.0,0.0
1714238100290.181,17.0,1.0,17.0
1714238101291.45,58.9,11.5,58.9
1714238102292.8945,59.8,12.3,59.8
1714238103293.2852,59.6,11.4,59.6
1714238104294.5771,59.4,13.1,59.4
1714238105295.6108,51.4,8.7,51.4
1714238106296.8857,0.0,0.0,0.0
1714238107298.1475,31.1,2.9,31.1
1714238108299.413,62.8,7.8,62.8
1714238109300.8657,63.1,8.7,63.1
1714238110302.2068,63.3,10.4,63.3
1714238111303.491,62.8,10.5,62.8
1714238112304.949,46.3,6.8,46.3
1714238113306.2131,0.0,2.0,0.0
1714238114307.4917,45.4,6.0,45.4
1714238115308.9436,66.4,18.0,66.4
1714238116310.2961,65.8,8.9,65.8
1714238117311.648,66.0,10.7,66.0
1714238118313.0408,65.6,12.4,65.6
1714238119314.3274,34.7,5.9,34.7
1714238120315.6133,0.0,0.0,0.0
1714238121316.9521,57.8,13.2,57.8
1714238122318.256,68.7,18.2,68.7
1714238123319.5305,69.0,15.7,69.0
1714238124320.9429,69.0,11.8,69.0
1714238125322.2073,69.2,13.3,69.2
1714238126323.4707,19.3,1.0,19.3
1714238127324.79,1.0,0.0,1.0
1714238128326.0576,69.8,11.0,69.8
1714238129327.3354,71.4,19.8,71.4
1714238130328.8154,70.9,15.2,70.9
1714238131330.2742,71.4,12.7,71.4
1714238132331.6487,71.4,17.0,71.4
1714238133333.1174,2.0,2.0,2.0
1714238134334.3928,17.9,3.0,17.9
1714238135335.7195,74.8,17.3,74.8
1714238136337.103,76.2,13.0,76.2
1714238137338.4177,76.3,17.5,76.3
1714238138339.7659,75.9,17.0,75.9
1714238139341.2039,64.8,15.4,64.8
1714238140342.5051,0.0,0.0,0.0
1714238141343.6545,34.5,9.6,34.5
1714238142345.059,77.5,21.3,77.5
1714238143346.422,78.7,20.0,78.7
1714238144347.6199,78.1,12.4,78.1
1714238145349.0796,78.7,15.7,78.7
1714238146350.5168,52.5,6.2,52.5
1714238147351.8127,0.0,0.0,0.0
1714238148353.115,52.2,10.2,52.2
1714238149354.4958,80.6,21.2,80.6
1714238150355.6255,81.3,12.8,81.3
1714238151357.071,80.6,19.0,80.6
1714238152358.4153,80.5,16.3,80.5
1714238153359.7952,39.1,8.1,39.1
1714238154361.126,0.0,0.0,0.0
1714238155362.4194,74.3,8.2,74.3
1714238156363.6162,95.2,21.6,95.2
1714238157364.9983,94.3,18.7,94.3
1714238158366.3901,95.2,15.4,95.2
1714238159367.7456,93.5,10.2,93.5
1714238160369.1074,22.0,2.0,22.0
1714238161370.382,1.0,0.0,1.0
1714238162371.6616,89.9,21.8,89.9
1714238163373.0352,93.5,16.8,93.5
1714238164374.425,92.7,18.4,92.7
1714238165375.625,92.5,21.6,92.5
1714238166377.0918,93.5,16.8,93.5
1714238167378.4773,3.0,1.0,3.0
1714238168379.6177,15.8,4.0,15.8
