time,CPU0,CPU1,CPU_total
1714238568139.5503,100.0,100.0,200.0
1714238569140.7788,0.0,1.0,1.0
1714238570142.0898,2.0,1.0,3.0
1714238571143.3828,0.0,0.0,0.0
1714238572144.7205,0.0,0.0,0.0
1714238573146.0396,0.0,0.0,0.0
1714238574147.3726,1.0,2.0,3.0
1714238575148.7659,2.1,1.1,3.2
1714238576150.0332,2.1,2.1,4.2
1714238577151.3188,3.1,3.1,6.2
1714238578152.6465,3.1,1.1,4.2
1714238579153.963,1.0,1.0,2.0
1714238580155.282,1.0,0.0,1.0
1714238581156.5554,7.9,6.9,14.8
1714238582157.8398,11.7,12.6,24.299999999999997
1714238583159.115,10.9,10.0,20.9
1714238584160.4658,10.0,11.0,21.0
1714238585161.7385,12.6,10.9,23.5
1714238586163.0112,7.8,7.8,15.6
1714238587164.2922,0.0,0.0,0.0
1714238588165.543,23.5,26.4,49.9
1714238589166.8247,30.1,34.6,64.7
1714238590167.599,30.9,33.8,64.69999999999999
1714238591168.9216,31.2,30.1,61.3
1714238592170.1875,33.6,37.5,71.1
1714238593171.478,6.8,9.4,16.2
1714238594172.8076,2.0,1.0,3.0
1714238595174.1172,39.9,44.6,84.5
1714238596175.4126,43.8,46.0,89.8
1714238597176.8289,43.0,44.1,87.1
1714238598178.118,43.4,44.5,87.9
1714238599179.3923,43.4,47.7,91.1
1714238600180.7898,3.9,3.0,6.9
1714238601182.0671,10.2,10.3,20.5
1714238602183.3772,52.8,54.2,107.0
1714238603184.902,51.9,52.5,104.4
1714238604186.182,51.9,53.1,105.0
1714238605187.4634,51.3,53.9,105.19999999999999
1714238606188.931,46.6,48.3,94.9
1714238607190.2053,0.0,0.0,0.0
1714238608191.494,24.4,25.0,49.4
1714238609192.9658,57.0,56.4,113.4
1714238610194.2412,56.4,54.4,110.8
1714238611195.543,55.6,55.6,111.2
1714238612197.0027,55.6,55.2,110.80000000000001
1714238613198.273,44.1,43.7,87.80000000000001
1714238614199.5293,0.0,1.0,1.0
1714238615200.8586,40.0,35.1,75.1
1714238616202.168,59.0,53.2,112.2
1714238617203.448,59.6,54.5,114.1
1714238618204.9531,59.0,54.4,113.4
1714238619206.2688,58.5,54.1,112.6
1714238620207.5552,33.9,30.6,64.5
1714238621208.2073,0.0,1.0,1.0
1714238622209.4993,47.6,49.3,96.9
1714238623210.767,59.2,60.5,119.7
1714238624212.0654,60.1,60.9,121.0
1714238625213.579,58.6,60.6,119.2
1714238626214.8909,58.5,59.9,118.4
1714238627215.615,23.1,23.9,47.0
1714238628216.9197,1.0,0.0,1.0
1714238629218.2188,57.8,58.8,116.6
1714238630219.588,60.5,61.4,121.9
1714238631221.048,61.6,62.3,123.9
1714238632222.3674,60.3,60.9,121.19999999999999
1714238633223.6565,60.6,61.8,122.4
1714238634225.209,5.8,4.9,10.7
1714238635226.5037,13.9,13.1,27.0
1714238636227.6665,64.0,62.4,126.4
1714238637229.1934,64.0,62.7,126.7
1714238638230.502,64.7,63.6,128.3
1714238639231.67,64.0,62.9,126.9
1714238640233.1045,57.3,56.3,113.6
1714238641234.389,2.0,0.0,2.0
1714238642235.6501,29.3,30.8,60.1
1714238643237.1018,66.0,64.4,130.4
1714238644238.428,66.2,65.1,131.3
1714238645239.6826,66.4,65.8,132.2
