p95,QPS,target,ts_start,ts_end,cpu_usage
513.5,4981.2,5000,1714238573347,1714238578770,4.45
549.0,9893.0,10000,1714238580276,1714238585641,22.424999999999997
595.8,14828.2,15000,1714238587145,1714238592470,62.33999999999999
618.0,20112.4,20000,1714238593973,1714238599301,88.08
651.8,25105.6,25000,1714238600806,1714238606119,105.39999999999999
655.4,30002.0,30000,1714238607623,1714238612923,111.55
663.4,34821.2,35000,1714238614428,1714238619729,113.07500000000002
662.8,40097.0,40000,1714238621233,1714238626534,119.57499999999999
664.3,44786.6,45000,1714238628038,1714238633342,121.2
660.9,49913.8,50000,1714238634847,1714238640156,127.07500000000002
653.6,54811.2,55000,1714238641661,1714238646956,131.05
645.2,60010.1,60000,1714238648460,1714238653749,136.625
644.9,65085.6,65000,1714238655252,1714238660565,137.16000000000003
637.8,69763.0,70000,1714238662069,1714238667361,145.94
643.2,75132.0,75000,1714238668864,1714238674158,152.14999999999998
612.6,80014.8,80000,1714238675662,1714238680979,157.425
632.2,84906.7,85000,1714238682483,1714238687790,162.625
601.5,90075.8,90000,1714238689294,1714238694593,161.56
609.2,94993.0,95000,1714238696096,1714238701397,172.1
630.5,99916.8,100000,1714238702901,1714238708206,183.45
591.9,104772.2,105000,1714238709710,1714238715004,183.07500000000002
934.4,105738.0,110000,1714238716509,1714238721806,192.175
640.0,115109.6,115000,1714238723310,1714238728622,183.99999999999997
939.1,110600.4,120000,1714238730126,1714238735428,194.5
890.3,112560.4,125000,1714238736932,1714238742230,200.0
