time,CPU0,CPU1,CPU_total
1714237188723.32,0.0,0.0,0.0
1714237189724.5193,2.0,1.0,2.0
1714237190725.8477,0.0,0.0,0.0
1714237191727.1135,1.0,0.0,1.0
1714237192728.1628,2.0,0.0,2.0
1714237193729.4302,0.0,0.0,0.0
1714237194730.236,1.0,0.0,1.0
1714237195731.5151,8.1,1.0,8.1
1714237196732.848,8.1,2.0,8.1
1714237197734.132,7.1,1.0,7.1
1714237198735.4062,4.2,0.0,4.2
1714237199736.7659,6.1,2.0,6.1
1714237200738.0708,0.0,1.0,0.0
1714237201739.369,17.9,2.0,17.9
1714237202740.7312,39.1,8.7,39.1
1714237203742.0234,38.2,4.9,38.2
1714237204743.3418,37.8,6.8,37.8
1714237205744.684,37.1,7.6,37.1
1714237206745.9844,24.8,4.9,24.8
1714237207747.2974,1.0,1.0,1.0
1714237208748.5886,32.6,5.8,32.6
1714237209749.8655,51.0,16.4,51.0
1714237210751.149,50.0,12.7,50.0
1714237211752.4485,50.6,20.2,50.6
1714237212753.7327,50.6,13.5,50.6
1714237213755.0557,25.8,6.7,25.8
1714237214756.3794,1.0,2.0,1.0
1714237215757.659,45.8,3.0,45.8
1714237216758.9424,57.0,15.3,57.0
1714237217759.6748,57.2,14.5,57.2
1714237218760.0435,55.3,13.0,55.3
1714237219761.3477,55.9,10.4,55.9
1714237220762.6433,20.0,11.0,20.0
1714237221763.614,1.0,0.0,1.0
1714237222763.9421,57.5,16.2,57.5
1714237223765.3154,61.1,18.3,61.1
1714237224766.5986,61.3,15.3,61.3
1714237225767.6152,60.9,18.4,60.9
1714237226769.0032,61.3,15.5,61.3
1714237227770.289,8.6,1.0,8.6
1714237228771.692,8.7,2.0,8.7
1714237229773.1025,62.9,20.7,62.9
1714237230774.3794,62.0,15.9,62.0
1714237231775.677,63.1,26.7,63.1
1714237232777.1233,63.1,25.8,63.1
1714237233778.3809,59.6,19.1,59.6
1714237234779.7146,2.0,0.0,2.0
1714237235781.0017,25.2,7.6,25.2
1714237236782.2632,66.2,22.8,66.2
1714237237783.6997,66.4,22.4,66.4
1714237238785.2434,66.0,21.9,66.0
1714237239786.5945,66.7,22.8,66.7
1714237240787.615,52.2,14.0,52.2
1714237241788.9004,1.0,1.0,1.0
