time,CPU0,CPU1,CPU_total
1714238268757.1008,0.0,0.0,0.0
1714238269757.8281,0.0,0.0,0.0
1714238270759.1067,0.0,0.0,0.0
1714238271759.6194,1.0,1.0,1.0
1714238272760.8894,0.0,1.0,0.0
1714238273762.173,3.1,1.0,3.1
1714238274763.4473,2.1,0.0,2.1
1714238275764.8303,2.2,1.0,2.2
1714238276766.1257,4.2,0.0,4.2
1714238277767.4233,5.2,1.0,5.2
1714238278768.8447,5.0,1.0,5.0
1714238279770.1377,1.0,0.0,1.0
1714238280770.4814,16.2,1.0,16.2
1714238281771.6306,27.1,4.0,27.1
1714238282772.9802,28.3,2.0,28.3
1714238283774.254,26.7,6.8,26.7
1714238284775.5603,24.3,3.0,24.3
1714238285776.951,14.0,2.0,14.0
1714238286777.503,0.0,0.0,0.0
1714238287778.7805,38.4,6.7,38.4
1714238288779.6191,49.0,5.9,49.0
1714238289780.9856,46.2,12.0,46.2
1714238290782.2566,49.0,4.0,49.0
1714238291783.6682,49.3,9.5,49.3
1714238292785.0042,19.8,3.9,19.8
1714238293786.2651,2.0,1.0,2.0
1714238294787.5413,51.9,10.4,51.9
1714238295789.1028,55.3,5.9,55.3
1714238296790.3794,55.3,7.8,55.3
1714238297791.6182,54.7,8.7,54.7
1714238298793.0664,54.4,8.7,54.4
1714238299794.3489,9.4,1.0,9.4
1714238300795.6191,5.8,0.0,5.8
1714238301797.081,59.7,11.3,59.7
1714238302798.3413,59.9,11.3,59.9
1714238303799.654,59.7,8.8,59.7
1714238304801.0977,60.2,6.0,60.2
1714238305802.4236,57.9,8.7,57.9
1714238306803.712,0.0,0.0,0.0
1714238307805.0002,19.6,0.0,19.6
1714238308806.3047,62.4,10.7,62.4
1714238309807.6267,63.5,8.8,63.5
1714238310808.9932,62.4,11.4,62.4
1714238311810.311,62.8,17.1,62.8
1714238312811.5886,52.8,6.0,52.8
1714238313812.896,0.0,1.0,0.0
1714238314814.204,36.6,4.0,36.6
1714238315815.5632,66.2,17.1,66.2
1714238316817.0955,65.3,18.0,65.3
1714238317818.5432,66.0,14.8,66.0
1714238318819.6643,66.4,13.2,66.4
1714238319821.0747,43.3,15.3,43.3
1714238320822.4033,0.0,1.0,0.0
1714238321823.6118,49.6,4.1,49.6
