p95,QPS,target,ts_start,ts_end,cpu_usage
509.0,4921.4,5000,1714237194041,1714237199489,6.874999999999999
631.7,9980.8,10000,1714237200993,1714237206371,38.050000000000004
727.2,14913.6,15000,1714237207875,1714237213227,50.55
774.7,20089.8,20000,1714237214731,1714237220082,54.239999999999995
872.4,24827.8,25000,1714237221587,1714237226912,60.419999999999995
871.2,30020.6,30000,1714237228416,1714237233744,62.775
942.2,34943.8,35000,1714237235248,1714237240552,66.325
995.8,39969.0,40000,1714237242057,1714237247362,70.275
1080.5,44763.6,45000,1714237248866,1714237254163,74.175
1203.2,49871.2,50000,1714237255668,1714237260960,78.78
1108.5,55132.0,55000,1714237262465,1714237267781,81.025
1274.3,59923.2,60000,1714237269285,1714237274583,89.69999999999999
1206.2,64942.4,65000,1714237276087,1714237281394,91.5
1711.3,69788.6,70000,1714237282898,1714237288203,99.25
1941.0,74045.0,75000,1714237289707,1714237295001,98.17999999999999
1820.0,79540.8,80000,1714237296505,1714237301818,99.75
1976.6,71844.7,85000,1714237303322,1714237308625,100.0
2031.6,66603.4,90000,1714237310130,1714237315432,100.0
1979.9,72526.6,95000,1714237316937,1714237322232,100.0
1985.8,69852.4,100000,1714237323737,1714237329033,98.42
1974.0,72526.8,105000,1714237330538,1714237335837,100.0
1915.2,77475.4,110000,1714237337341,1714237342702,100.0
1979.2,71969.4,115000,1714237344210,1714237349983,98.82000000000001
1944.5,74872.2,120000,1714237351490,1714237357225,97.17999999999999
1968.1,72355.6,125000,1714237358736,1714237364309,94.0
