p95,QPS,target,ts_start,ts_end,cpu_usage
514.5,4922.2,5000,1714239245115,1714239250570,4.9
625.4,9882.8,10000,1714239252074,1714239257441,40.839999999999996
687.1,14917.6,15000,1714239258945,1714239264285,58.67999999999999
751.3,20082.2,20000,1714239265789,1714239271115,69.4
824.6,24943.8,25000,1714239272620,1714239277952,74.75
854.3,29953.6,30000,1714239279457,1714239284761,82.85
863.9,35181.2,35000,1714239286265,1714239291578,84.97500000000001
866.1,39953.3,40000,1714239293083,1714239298388,84.92
903.3,45198.2,45000,1714239299892,1714239305200,93.57500000000002
900.7,49987.4,50000,1714239306705,1714239312003,99.12500000000001
909.1,55001.2,55000,1714239313508,1714239318822,96.82499999999999
886.0,60086.2,60000,1714239320327,1714239325623,105.125
897.6,65118.8,65000,1714239327127,1714239332431,107.31999999999998
914.6,70072.6,70000,1714239333935,1714239339258,112.525
1435.1,72719.8,75000,1714239340762,1714239346086,120.15
1435.6,74052.6,80000,1714239347590,1714239352894,123.5
1525.8,72982.8,85000,1714239354398,1714239359716,121.225
1548.5,72068.5,90000,1714239361220,1714239366524,116.08
1463.7,73723.8,95000,1714239368029,1714239373338,118.5
1490.0,72859.4,100000,1714239374842,1714239380151,120.475
1399.6,77377.6,105000,1714239381655,1714239386958,122.85000000000001
1457.5,73647.2,110000,1714239388463,1714239393761,124.2
1489.9,72324.4,115000,1714239395265,1714239400566,118.51999999999998
1459.0,73772.2,120000,1714239402070,1714239407374,121.67999999999999
1458.4,74069.4,125000,1714239408877,1714239414166,120.975
