p95,QPS,target,ts_start,ts_end,cpu_usage
531.4,4927.4,5000,1714237393592,1714237399059,4.9799999999999995
632.8,10093.0,10000,1714237400565,1714237405947,31.74
701.6,15042.8,15000,1714237407452,1714237412773,48.45
772.6,19952.8,20000,1714237414277,1714237419594,55.5
802.1,25016.0,25000,1714237421097,1714237426425,59.925000000000004
870.6,29960.4,30000,1714237427929,1714237433273,63.075
957.4,35105.6,35000,1714237434778,1714237440112,65.03999999999999
928.3,39933.6,40000,1714237441616,1714237446912,68.17999999999999
1057.6,45254.0,45000,1714237448416,1714237453721,73.375
1093.5,50011.2,50000,1714237455225,1714237460535,76.02499999999999
1228.8,55045.4,55000,1714237462039,1714237467345,81.475
1197.0,59731.4,60000,1714237468848,1714237474141,85.6
1239.9,64979.6,65000,1714237475646,1714237480946,92.04
1561.4,69826.8,70000,1714237482452,1714237487743,98.025
2034.7,72535.4,75000,1714237489247,1714237494548,100.0
2004.8,69952.0,80000,1714237496052,1714237501354,100.0
1925.7,74650.2,85000,1714237502859,1714237508152,97.17999999999999
1926.1,75696.6,90000,1714237509656,1714237514958,100.0
1957.3,72109.8,95000,1714237516462,1714237521757,100.0
2000.6,69619.0,100000,1714237523261,1714237528568,100.0
1876.2,78213.1,105000,1714237530072,1714237535378,100.0
1976.9,71826.4,110000,1714237536883,1714237542180,97.4
1993.9,70257.2,115000,1714237543685,1714237548988,100.0
1958.5,72911.0,120000,1714237550492,1714237555794,100.0
1960.1,73148.8,125000,1714237557298,1714237562612,100.0
