p95,QPS,target,ts_start,ts_end,cpu_usage
493.0,4933.6,5000,1714238773462,1714238778918,3.7
553.6,9969.0,10000,1714238780422,1714238785805,23.775
598.5,14937.2,15000,1714238787309,1714238792631,65.7
627.4,19943.2,20000,1714238794136,1714238799452,88.03999999999999
637.5,24905.0,25000,1714238800956,1714238806282,102.05999999999999
647.5,29986.1,30000,1714238807787,1714238813106,109.575
650.8,34799.4,35000,1714238814610,1714238819909,114.1
677.8,39760.8,40000,1714238821413,1714238826714,119.67500000000001
653.4,45079.2,45000,1714238828219,1714238833529,119.96
657.9,49689.0,50000,1714238835033,1714238840369,125.94000000000001
658.6,54984.4,55000,1714238841873,1714238847173,131.125
645.0,60128.6,60000,1714238848677,1714238853973,136.3
655.0,65020.8,65000,1714238855477,1714238860770,143.1
641.1,69851.0,70000,1714238862274,1714238867596,142.76
617.5,74876.2,75000,1714238869099,1714238874406,149.02
643.6,79963.4,80000,1714238875910,1714238881225,155.9
623.8,84786.8,85000,1714238882729,1714238888036,164.3
610.9,89825.0,90000,1714238889541,1714238894837,169.55
633.4,94724.8,95000,1714238896341,1714238901640,171.92
625.9,99973.8,100000,1714238903145,1714238908455,183.7
675.4,105021.5,105000,1714238909959,1714238915266,183.625
603.6,109640.2,110000,1714238916770,1714238922074,188.05
832.5,113930.6,115000,1714238923578,1714238928883,198.05
736.0,119935.5,120000,1714238930387,1714238935691,190.68
915.0,113283.4,125000,1714238937196,1714238942502,199.4
