#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,420.8,511.4,173.5,257.5,279.5,387.7,422.7,441.0,455.6,470.1,492.7,526.7,878.3,8903.5,24396.5,4974.6,5000,1714239646243,1714239651687
read,445.7,495.7,173.5,247.3,266.9,429.4,486.8,515.1,534.7,556.0,584.5,627.7,734.3,5032.5,28644.4,9955.5,10000,1714239653191,1714239658581
read,445.7,311.6,173.5,241.1,260.9,426.6,509.1,547.8,574.7,603.4,636.2,684.1,796.6,2177.5,10996.4,14936.4,15000,1714239660085,1714239665429
read,468.8,272.2,173.5,236.6,256.9,440.6,529.3,579.1,613.4,650.4,693.0,761.8,925.4,2979.5,8845.6,19842.6,20000,1714239666933,1714239672261
read,488.2,291.2,173.5,232.8,252.7,460.3,550.4,602.7,639.6,682.8,736.5,833.3,993.8,3415.3,12022.3,25074.8,25000,1714239673765,1714239679105
read,504.5,383.3,173.5,233.6,252.4,473.6,568.5,622.7,663.0,710.8,775.7,872.7,1071.9,3562.9,17574.2,29986.1,30000,1714239680609,1714239685931
read,490.7,312.4,173.5,228.8,247.2,459.9,555.4,612.3,652.8,700.8,766.8,869.4,1066.8,1453.5,12164.0,35001.4,35000,1714239687436,1714239692743
read,497.2,301.1,173.5,232.2,250.8,463.8,567.1,624.4,665.8,715.6,786.2,886.6,1081.7,1703.6,12083.2,39923.8,40000,1714239694247,1714239699555
read,496.7,305.4,160.7,233.6,252.5,459.3,562.9,623.0,667.2,720.2,793.0,890.0,1074.0,1554.1,12140.2,44972.0,45000,1714239701059,1714239706360
read,497.9,275.9,160.7,234.0,253.4,456.8,563.7,624.3,669.3,724.3,802.0,910.0,1095.2,1541.2,8787.3,50055.8,50000,1714239707865,1714239713179
read,487.6,294.1,173.5,233.8,253.1,444.1,545.3,604.3,647.6,700.8,777.7,883.5,1076.7,2594.1,10977.0,55173.8,55000,1714239714684,1714239719982
read,489.4,292.9,173.5,236.2,256.7,444.0,546.3,607.2,652.0,707.8,785.0,887.7,1072.3,1483.1,9989.9,60156.9,60000,1714239721486,1714239726793
read,482.4,272.3,173.5,235.2,256.1,436.5,534.3,595.7,643.7,700.8,775.5,872.4,1048.1,1377.2,9582.9,64822.8,65000,1714239728299,1714239733604
read,656.9,370.3,173.5,292.7,342.7,594.8,703.7,790.4,866.7,964.7,1080.8,1223.0,1421.7,2182.5,12562.3,70130.0,70000,1714239735109,1714239740424
read,784.1,487.3,173.5,348.5,425.9,700.9,808.5,930.0,1049.6,1168.1,1294.3,1439.8,1607.1,4916.2,19118.6,74328.4,75000,1714239741928,1714239747229
read,840.8,437.1,187.4,508.0,543.8,698.9,934.3,1109.3,1172.5,1233.7,1297.7,1377.7,1540.6,3341.6,16268.4,76038.4,80000,1714239748734,1714239754041
read,911.4,458.0,173.5,596.0,625.9,747.7,842.8,1230.2,1313.6,1371.2,1429.9,1489.1,1611.4,3924.0,16261.8,72070.0,85000,1714239755546,1714239760853
read,902.1,499.5,187.4,577.1,611.0,739.6,842.1,1222.0,1296.1,1349.2,1406.8,1474.8,1603.0,4411.1,19900.0,72987.9,90000,1714239762357,1714239767656
read,907.1,446.9,202.4,595.8,622.6,743.5,841.5,1230.5,1308.7,1362.2,1420.3,1482.0,1605.1,3293.3,17244.4,72527.4,95000,1714239769160,1714239774467
read,918.5,503.9,187.4,597.8,629.9,753.5,843.9,1242.0,1324.4,1385.1,1441.6,1499.3,1611.4,4801.8,18195.1,71811.6,100000,1714239775970,1714239781267
read,901.8,458.9,173.5,580.6,610.7,739.9,847.6,1214.0,1290.5,1345.1,1404.6,1478.9,1611.6,5784.9,16142.2,73187.0,105000,1714239782772,1714239788083
read,873.9,492.8,173.5,546.1,576.4,717.3,914.7,1168.9,1228.5,1282.2,1343.0,1422.1,1582.2,5021.5,18004.8,75535.9,110000,1714239789588,1714239794881
read,893.7,437.6,187.4,560.9,597.1,738.9,867.8,1192.7,1265.1,1328.8,1391.0,1477.4,1619.6,3988.3,15563.5,73591.9,115000,1714239796385,1714239801697
read,904.7,512.6,202.4,586.5,614.3,737.4,838.6,1222.8,1297.5,1349.6,1406.3,1474.0,1601.4,5864.9,19503.3,73074.2,120000,1714239803201,1714239808509
read,873.5,434.3,218.6,570.7,600.8,712.3,800.7,1200.3,1261.2,1312.5,1358.2,1424.7,1538.4,4516.9,14951.4,75425.0,125000,1714239810013,1714239815324
