p95,QPS,target,ts_start,ts_end,cpu_usage
524.6,4999.8,5000,1714238072328,1714238077775,4.7
624.2,10018.4,10000,1714238079279,1714238084667,33.125
684.0,14893.0,15000,1714238086171,1714238091499,46.06
737.7,19950.6,20000,1714238093011,1714238098332,53.96
780.8,25028.8,25000,1714238099835,1714238105166,59.425
849.2,29964.6,30000,1714238106670,1714238111985,63.0
869.4,35033.4,35000,1714238113490,1714238118791,65.94999999999999
880.1,39816.4,40000,1714238120295,1714238125608,66.74
886.3,45028.8,45000,1714238127112,1714238132411,70.97999999999999
902.5,49921.4,50000,1714238133915,1714238139220,75.80000000000001
872.7,54965.4,55000,1714238140724,1714238146025,78.25
861.8,59819.8,60000,1714238147529,1714238152833,80.75
938.4,64941.4,65000,1714238154338,1714238159641,90.5
879.1,69866.8,70000,1714238161145,1714238166454,92.42
869.3,74867.0,75000,1714238167959,1714238173295,95.0
1580.0,68601.0,80000,1714238174800,1714238180116,100.0
1446.5,73958.0,85000,1714238181620,1714238186927,100.0
1487.1,71805.0,90000,1714238188431,1714238193732,100.0
1546.6,70051.2,95000,1714238195236,1714238200540,98.78
1476.3,72660.3,100000,1714238202045,1714238207353,100.0
1492.3,72081.2,105000,1714238208857,1714238214163,100.0
1615.6,67278.6,110000,1714238215667,1714238220971,100.0
1523.2,70916.2,115000,1714238222475,1714238227779,100.0
1588.9,67946.0,120000,1714238229282,1714238234585,98.8
1355.3,78155.2,125000,1714238236089,1714238241394,100.0
