Total number of intervals = 120
Timestamp start: 1715924334859
Timestamp end: 1715925535637

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      320.4   425.7    74.4   153.7   179.0   305.9   342.2   362.3   375.7   393.5   415.7   452.7   581.1  5777.4 18839.0   7394.4     7434
read      336.2   294.3    68.9   127.6   145.7   300.5   381.9   431.4   467.5   509.9   561.5   634.1   805.3  2090.9 10049.7  67084.6    67201
read      337.0   257.9    63.8   130.4   149.6   298.3   379.3   427.2   462.6   505.0   560.2   644.1   856.2  2343.7  9067.4  85847.9    85927
read      360.1   397.8    68.9   126.2   144.3   300.1   384.8   437.2   477.0   524.6   584.6   686.5  1590.2  3494.4 14201.9  64015.1    63953
read      585.5  1596.6    68.9   128.4   147.9   329.0   477.8   594.0   693.1   796.4   923.6  1127.1  5595.0 26817.0 38913.8  31591.8    31595
read      399.0   561.3    68.9   132.3   153.1   316.4   402.0   454.9   495.6   547.4   627.2   817.1  1829.2  6414.1 25824.2  87981.7    87879
read      886.0  3196.4    74.4   148.2   175.8   322.0   375.3   404.9   428.4   457.4   503.2  1681.7 14861.2 37384.7 50790.0   7289.9     7287
read      384.6   522.5    63.8   125.3   144.0   303.8   390.0   445.0   488.3   541.0   611.1   763.4  1837.8  6065.1 19923.5  62130.9    62295
read      928.8  3371.8    74.4   153.4   182.2   319.8   370.0   398.5   420.1   447.7   498.2  1877.6 15936.8 37079.7 42464.2   6533.7     6561
read      676.1  2151.7    68.9   132.7   153.4   359.1   492.1   575.9   630.9   689.7   770.1   964.6 12081.1 31644.7 42857.1  22547.6    22532
read      416.1   684.7    68.9   127.1   145.7   304.0   394.2   453.1   500.2   558.3   642.8  1031.6  2082.4  9414.6 29128.9  60652.3    60653
read      406.0   576.5    68.9   126.6   145.4   301.4   390.8   449.7   496.2   553.5   639.1  1054.8  2018.9  6313.3 27863.8  59089.1    59076
read      382.1   512.4    63.8   127.2   145.8   302.6   389.2   442.9   484.5   534.4   599.3   742.9  1856.6  5913.2 15258.6  60196.7    60154
read      656.2  2089.1    74.4   129.5   149.7   349.6   481.3   571.0   629.8   692.2   774.8   943.5 12240.1 31432.4 40783.9  22851.2    22964
read      888.4  3334.5    74.4   139.4   165.5   319.0   377.1   408.8   431.9   460.6   502.0  1041.6 15699.9 37446.2 51550.9   8191.5     8172
read      648.8  1990.5    68.9   128.8   148.3   332.5   480.5   603.4   687.5   770.8   873.1  1053.7 12022.2 30909.7 37619.4  27653.5    27652
read      488.8  1107.7    68.9   126.9   145.7   311.7   422.2   499.8   567.1   681.6   895.1  1165.8  2691.7 16810.8 36903.6  37554.4    37594
read      641.8  2024.2    68.9   128.0   147.7   336.7   472.1   576.0   646.7   718.8   808.0   983.0 11813.0 31064.7 43546.8  24428.4    24367
read      617.1  1862.2    63.8   127.3   146.3   315.7   452.9   578.0   713.5   849.0   984.8  1180.0  7708.7 31041.0 40218.8  33677.0    33771
read      369.6   446.3    68.9   129.6   149.2   304.8   386.8   436.8   475.2   523.4   589.9   719.0  1643.4  4323.8 16519.2  84896.0    84944
read      431.4   540.3    68.9   140.9   165.1   360.0   462.3   523.5   569.6   626.2   705.3   872.4  1498.0  5531.3 20076.0  85570.5    85666
read      437.4   733.3    68.9   127.8   146.5   306.6   399.1   461.6   512.2   581.4   713.0  1266.1  2163.1  7901.9 31611.2  51885.5    51918
read      564.9  1598.7    68.9   126.5   145.4   313.4   438.5   537.2   647.0   793.5   955.3  1166.2  3658.7 27092.4 39401.2  34450.1    34406
read      622.5  1836.7    68.9   127.6   147.1   332.1   475.2   600.1   691.9   783.7   896.4  1084.5  8700.0 30513.3 40305.3  28607.7    28664
read      467.8   921.5    68.9   127.7   146.9   309.6   418.6   495.7   563.7   686.3   914.3  1172.5  2150.6 13949.5 31959.1  38296.6    38289
read      601.0  1892.0    68.9   128.9   149.0   347.8   469.2   546.0   595.7   648.2   717.7   855.0 10581.7 30284.9 40892.4  20675.1    20658
read      737.1  2641.7    68.9   129.1   149.3   336.1   426.8   476.4   509.2   546.9   593.6   722.3 14412.4 35702.3 45660.4  13803.7    13840
read      375.9   480.7    63.8   137.9   159.8   319.5   401.9   453.0   490.5   536.6   597.2   702.1  1159.0  6400.8 18766.2  93359.6    93419
read      348.2   274.5    68.9   135.6   156.5   309.5   387.6   435.5   471.8   516.7   574.3   663.6   898.6  2500.5  8899.1  98523.5    98284
read      340.4   249.4    63.8   129.7   148.6   304.9   387.9   436.2   470.9   512.6   565.1   639.9   865.8  2222.3  8540.0  71306.5    71313
read      446.0   731.9    68.9   128.7   147.7   313.5   416.2   485.7   541.7   622.7   798.7  1167.4  2353.4  7731.6 31579.5  42117.5    42089
read      451.7   694.3    68.9   129.0   148.3   315.1   416.5   484.6   540.6   618.4   798.0  1242.7  2447.9  7966.8 30058.1  46587.2    46458
read      587.7  1720.9    68.9   125.8   144.9   319.2   459.0   572.2   666.1   759.5   873.9  1065.3  7822.2 29168.8 40318.5  30742.1    30755
read      445.2   730.6    68.9   127.0   145.4   308.0   408.9   478.4   535.2   615.1   799.6  1178.7  2383.0  9107.9 31152.9  43060.8    42889
read      380.5   515.6    68.9   136.5   158.2   319.5   402.3   454.2   493.5   540.6   603.7   715.4  1360.7  5760.9 28590.5  93301.1    93552
read      375.1   392.8    68.9   130.7   150.1   316.4   404.6   458.0   496.9   543.4   606.3   719.5  1534.6  4046.3 13576.6  65605.4    65694
read      619.7  1868.9    68.9   125.3   144.6   325.7   473.1   592.2   677.7   765.1   875.9  1085.4  8809.5 30760.4 40755.9  29560.4    29574
read      439.6   663.0    68.9   127.4   146.1   307.9   404.8   472.0   526.6   603.6   782.9  1255.1  2180.2  7686.2 29574.3  51333.1    51355
read      374.9   483.7    63.8   130.2   149.5   312.7   399.1   451.1   489.6   536.1   597.1   705.5  1572.7  5488.0 21109.7  67251.2    67361
read      688.7  2334.5    74.4   130.6   150.9   343.6   447.4   507.8   548.3   593.0   649.1   780.4 13134.0 31942.1 39552.9  16271.2    16287
read      400.1   564.6    68.9   135.0   156.0   323.4   410.5   463.7   504.3   555.1   627.2   772.9  1776.1  6484.2 30144.0  81422.0    81508
read      380.7   445.5    68.9   135.2   156.2   318.4   403.6   456.1   495.4   543.3   610.5   734.8  1501.7  4953.1 15697.7  87800.5    87619
read      391.6   498.5    63.8   140.3   164.4   333.2   418.8   469.6   508.0   554.6   620.4   740.9  1222.2  6176.0 26296.2  99075.5    99068
read      446.0   696.2    68.9   129.1   148.2   312.6   410.9   477.3   531.3   606.0   758.0  1251.7  2313.0  8092.8 29822.6  51277.3    51267
read      757.3  2758.3    74.4   132.5   154.7   336.8   416.4   459.2   488.3   521.9   568.3   717.6 14223.6 35945.7 46126.8  11817.0    11822
read      418.8   565.3    68.9   142.8   167.7   341.5   431.1   484.9   525.8   578.6   657.4   830.6  1711.9  7402.6 28274.6  97500.4    97494
read      386.2   482.1    68.9   138.8   161.5   327.8   412.5   463.5   501.9   548.8   616.4   737.6  1303.3  5598.4 21277.2  97234.5    97350
read      418.0   573.3    63.8   129.5   148.5   313.5   407.4   467.5   514.6   575.0   667.0  1058.9  2070.3  6313.0 24342.2  55404.3    55460
read      391.8   505.0    68.9   134.3   155.5   318.6   403.3   456.0   496.4   546.8   619.7   759.8  1739.4  5728.8 18970.1  86037.1    85984
read      349.7   298.2    68.9   132.0   151.8   307.8   391.1   439.8   475.6   519.7   579.4   676.9   934.8  2462.1 10226.2  81972.4    82043
read      448.7   708.4    68.9   128.3   147.2   308.7   404.4   470.5   525.9   604.6   795.7  1340.7  2357.7  7512.7 30924.7  52868.9    52873
read      730.1  2534.8    74.4   128.5   148.7   333.6   425.8   479.1   515.1   556.7   617.6  1079.8 12526.4 32514.4 46259.5  13888.1    13911
read      475.8   891.5    68.9   128.4   147.5   315.1   415.3   482.4   537.7   616.2   802.7  1346.9  2832.7 10129.8 32014.1  49998.1    49984
read      809.6  3021.1    74.4   134.6   158.6   319.5   382.1   416.7   441.5   470.9   515.9   896.6 15101.3 35736.1 43951.0   9272.1     9274
read      631.0  1931.1    68.9   126.4   145.9   330.4   474.8   587.5   662.4   739.1   838.1  1032.4 10678.0 30741.1 42186.6  27245.8    27187
read      687.5  2332.0    68.9   128.6   148.3   346.7   460.6   528.7   574.1   622.7   683.9   829.0 12917.9 31932.9 44523.3  18759.5    18735
read      423.6   686.1    68.9   136.2   158.6   328.9   416.0   470.8   514.4   569.7   649.7   839.6  1908.9  8431.5 31163.0  86510.7    86505
read      397.4   646.7    63.8   135.1   157.3   321.0   403.4   455.2   494.0   541.8   610.5   738.9  1706.0  8129.7 30830.8  93094.1    93039
read      393.7   593.5    68.9   130.9   150.7   314.5   400.1   453.8   493.9   542.9   611.2   746.7  1836.4  7170.9 28439.3  75770.3    75999
read      605.2  1769.8    68.9   125.2   143.7   313.7   444.3   565.7   699.1   825.3   956.8  1149.4  7634.9 30187.3 38006.1  32355.3    32324
read      422.2   680.3    68.9   135.1   157.3   327.7   414.1   469.2   513.2   569.2   648.1   832.4  2055.8  7990.4 31199.0  84105.2    84255
read      351.9   377.7    63.8   129.7   149.3   302.4   384.2   432.2   467.4   509.8   567.9   665.1  1179.4  4100.5 10673.3  81776.2    81759
read      504.0  1179.3    68.9   122.7   140.5   292.8   401.4   495.1   630.1   832.2   988.5  1156.3  2290.0 12936.5 36103.4  37393.8    37291
read      386.5   467.6    68.9   125.2   143.2   294.4   377.1   431.1   473.0   529.0   621.4  1082.2  1717.0  5434.1 13465.8  53806.5    53818
read      469.3   891.3    68.9   124.8   143.5   315.8   460.3   582.9   674.1   760.3   860.0   996.9  1577.2 11168.1 35010.5  30311.3    30297
read      546.0  1416.7    68.9   125.1   143.8   319.0   460.4   577.9   677.8   773.6   884.3  1044.3  6683.7 21186.5 38350.3  31589.0    31569
read      462.2   917.0    63.8   127.3   145.5   304.9   413.4   492.5   567.7   705.1   919.2  1151.5  1781.9 11842.3 32363.7  38865.3    38927
read      411.0  1041.2    74.4   137.2   159.3   326.3   394.1   429.2   453.8   481.9   517.6   580.9  2008.4 13808.0 32303.0  10682.3    10652
read      350.8   295.8    68.9   134.4   155.3   304.5   384.6   433.1   469.3   512.6   570.9   666.4  1174.0  2600.1 10632.6  97984.0    98119
read      387.7   359.2    68.9   127.7   145.9   299.3   389.6   448.8   496.8   559.1   674.8  1075.2  1611.3  2966.9  8969.7  48234.6    48176
read      413.2   536.8    68.9   127.0   144.4   293.3   408.2   511.2   628.8   748.3   875.5  1016.4  1260.8  4316.5 28267.6  34969.1    34929
read      412.0   447.2    68.9   128.3   146.4   269.6   347.1   408.4   466.8   579.9   964.0  1465.3  1920.1  2431.7 11209.6  69845.3    69735
read      378.5   399.2    68.9   132.1   152.4   341.0   440.8   499.6   538.9   579.9   626.1   689.6   837.5  4263.3 13743.8  20787.9    20753
read      560.3   625.4    63.8   144.3   169.9   343.4   474.0   588.6   706.0   925.6  1282.2  1997.8  2659.6  3429.6 15899.9  84682.4    84642
read      408.2   391.1    63.8   125.3   143.0   285.8   396.6   491.6   595.6   740.3   913.1  1114.7  1376.1  1925.6 11067.8  42133.4    42333
read      408.9   426.0    63.8   126.1   144.0   270.8   355.7   422.3   486.3   613.6   988.6  1375.7  1782.5  2181.6 11098.7  61626.4    61587
read      416.7   469.5    63.8   129.7   148.8   270.8   347.3   406.2   462.8   572.1   952.9  1526.1  2026.4  2652.2 11252.8  77986.3    77998
read      741.0   782.3    74.4   194.9   223.1   425.5   609.5  1359.0  1481.0  1589.5  1696.1  1830.3  2691.7  6558.8 24272.1  97601.1    97625
read      387.9   401.1    68.9   125.9   143.5   311.6   426.0   501.9   557.2   618.1   690.4   831.9  1397.4  3038.3 17018.4  23700.6    23781
read      409.6   454.7    63.8   126.4   144.4   267.5   346.3   409.6   469.3   580.9   974.7  1442.1  1869.7  2327.2 13328.9  66604.8    66723
read      397.0   356.7    68.9   126.5   145.0   316.5   447.5   540.5   611.5   680.6   757.9   871.9  1074.4  1725.0 11949.8  31031.5    31016
read      408.8   381.7    68.9   126.3   144.3   282.6   391.5   484.1   582.6   731.6   928.3  1160.0  1441.1  1847.0 10152.3  47326.4    47394
read      737.3   760.3    68.9   185.4   218.7   420.2   602.6  1353.7  1480.3  1593.0  1702.0  1837.3  2713.5  6594.5 19970.9  95297.5    95335
read      362.5   979.1    74.4   142.9   166.3   284.8   323.3   344.5   362.5   384.9   419.9   524.2  1586.0 13216.7 36951.9   5254.4     5252
read      412.3   441.9    63.8   127.6   145.5   270.7   352.5   418.7   481.1   593.8   973.8  1427.3  1867.3  2396.6 11580.9  65662.3    65908
read      365.2   465.0    68.9   131.7   151.9   331.9   419.1   468.4   500.3   533.9   572.3   625.3   739.0  6490.8 19521.4  16925.3    16889
read      409.6   359.5    63.8   127.0   144.8   289.7   407.3   502.8   604.5   740.2   906.7  1101.9  1359.9  1931.4 10441.3  43015.4    42912
read      742.8   740.5    74.4   197.8   224.9   429.1   613.7  1362.1  1483.7  1591.4  1697.9  1834.1  2707.6  5217.3 19995.8  99878.8    99898
read      395.9   412.4    68.9   127.8   145.3   307.1   425.3   509.0   574.2   640.6   725.2   888.2  1500.9  3088.2 15194.6  26462.4    26385
read      383.1   396.3    68.9   130.1   150.0   338.5   445.6   511.5   554.9   600.2   650.7   724.0   887.5  3936.2 18205.7  22549.1    22616
read      413.4   433.0    63.8   126.3   144.2   280.4   383.4   467.9   554.9   722.7   959.1  1215.6  1533.9  2119.5 11777.6  50554.5    50605
read      731.9   743.6    74.4   189.9   219.5   421.6   603.0  1321.8  1454.1  1567.1  1681.9  1830.8  2731.3  6171.4 19531.7  90145.7    90283
read      389.2   393.7    68.9   126.5   144.3   319.7   439.9   520.7   579.0   637.9   704.9   808.9  1072.5  3993.2 13480.5  26360.6    26273
read      414.3   367.4    63.8   127.6   145.4   285.1   395.9   492.5   590.8   746.7   951.7  1179.5  1466.8  2066.2 10478.9  48491.6    48521
