Total number of intervals = 137Average QPS expected = 51478
Timestamp start: 1716049720770
Timestamp end: 1716050621320

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target    
read      413.7   352.8   160.7   223.2   241.9   369.3   434.1   474.8   506.4   544.5   594.9   684.7  1042.0  4282.4 10610.7  98857.3    99068
read      412.0   301.6   160.7   215.7   230.2   353.6   439.7   497.1   540.3   590.0   645.6   726.2  1138.7  2828.9 11492.1  51128.3    51267
read      712.5  1910.7   160.7   222.4   240.8   465.7   558.4   605.9   635.7   673.7   726.9   907.3  7911.9 31564.8 43554.9  11889.2    11822
read      430.4   536.5   148.8   224.1   243.0   373.0   439.3   481.2   512.8   551.1   603.9   692.9  1139.9  8642.9 24142.5  97549.2    97494
read      425.4   369.8   160.7   221.1   239.6   373.0   442.2   485.0   517.6   559.1   617.8   724.6  1491.3  4076.6 12293.5  97367.9    97350
read      405.1   270.7   160.7   212.5   227.3   347.9   431.8   487.9   531.1   580.7   636.7   721.2  1132.0  2835.5  8924.3  55337.1    55460
read      410.1   373.7   160.7   218.0   233.5   357.7   427.9   469.7   502.9   543.8   599.4   696.5  1332.6  3845.8 13118.9  85820.6    85984
read      408.1   351.7   148.8   217.3   232.5   354.2   424.9   467.5   501.3   543.0   599.0   695.3  1441.7  3762.7 10774.1  82102.7    82043
read      412.5   343.3   160.7   215.5   229.9   352.6   436.9   492.0   534.2   583.1   639.5   722.4  1175.7  3847.3 10939.6  52822.7    52873
read      694.2  1836.9   160.7   221.5   239.5   463.1   563.3   615.4   649.6   689.5   743.9   872.8  8604.7 31382.8 39796.0  13932.4    13911
read      432.9   413.7   160.7   217.1   231.7   359.0   451.0   512.0   557.5   608.0   667.6   765.6  1433.5  5050.2 13478.2  49865.8    49984
read      719.8  1983.1   160.7   227.1   248.1   456.2   527.2   566.8   594.7   629.0   677.2   849.2  8285.5 31667.9 37905.2   9375.9     9274
read      580.8  1151.2   148.8   217.7   233.8   434.9   557.1   624.6   677.4   746.2   840.0   999.4  4164.5 12397.3 38719.1  27128.2    27187
read      729.4  1912.8   160.7   218.7   235.9   468.6   591.0   660.9   708.2   760.1   829.5   991.6  8767.4 31291.3 43977.7  18808.6    18735
