#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,399.4,425.3,173.5,237.7,266.2,374.9,408.6,427.2,439.7,456.7,475.0,506.5,634.0,5930.5,16599.5,4988.0,5000
read,434.1,269.8,173.5,229.8,249.8,424.5,485.0,515.6,538.2,564.6,596.4,651.8,765.0,3577.8,10657.8,10026.0,10000
read,474.1,338.8,160.7,232.2,253.3,443.0,527.1,577.4,615.1,659.5,714.8,790.7,953.7,3947.1,13013.2,14868.8,15000
read,528.1,367.5,160.7,234.5,261.0,486.7,575.2,636.2,687.2,747.6,816.8,916.9,1168.3,5102.4,9754.7,19936.2,20000
read,551.2,367.0,160.7,237.1,264.4,518.0,615.2,675.9,725.4,785.3,857.4,959.4,1184.3,4027.8,13081.9,25035.6,25000
read,578.3,378.6,160.7,240.2,270.5,546.6,656.5,719.3,766.0,823.6,893.7,998.3,1200.4,3981.2,13642.7,29779.4,30000
read,585.2,359.1,160.7,240.4,268.3,539.8,664.9,738.1,791.6,853.3,931.1,1056.1,1351.7,3846.5,13250.8,34923.8,35000
read,598.9,348.3,160.7,243.8,274.3,552.9,686.9,765.3,818.9,879.1,953.1,1069.3,1331.3,3524.1,12343.6,39961.4,40000
read,614.4,428.8,160.7,248.7,281.7,554.2,689.6,772.6,830.0,896.9,985.6,1135.9,1485.8,3696.2,13808.8,44887.2,45000
read,678.5,479.3,173.5,270.0,315.2,620.9,767.7,845.9,902.5,970.0,1059.8,1217.1,1642.2,5001.0,18289.8,49741.6,50000
read,1386.4,844.8,187.4,996.5,1042.0,1200.0,1264.7,1320.5,1381.1,2059.8,2242.8,2368.3,2557.2,12996.0,30270.6,48320.8,55000
