#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,442.7,652.1,173.5,242.1,267.4,386.7,438.3,472.2,495.6,522.4,557.2,619.5,1176.5,9508.5,31333.9,4964.4,5000
read,553.2,783.3,173.5,242.6,271.2,495.8,594.9,648.9,686.1,729.2,782.1,861.8,1171.3,9657.8,31598.1,9994.2,10000
read,587.4,466.0,173.5,244.4,275.7,544.7,658.2,725.3,773.8,827.9,891.1,988.9,1262.3,5422.1,17923.2,15000.2,15000
read,655.4,637.2,173.5,246.6,281.4,598.7,726.9,799.0,852.5,917.2,1002.3,1135.0,1673.8,7738.8,30356.3,19996.8,20000
read,704.7,741.4,173.5,250.5,290.6,650.6,789.6,858.7,910.3,973.9,1060.2,1194.1,1722.9,12295.5,30944.8,25112.0,25000
read,700.7,697.5,160.7,245.0,278.9,612.6,775.7,862.0,928.4,1009.9,1120.3,1304.8,1923.8,9117.4,31000.9,30028.0,30000
read,730.3,659.2,173.5,253.6,295.7,659.7,828.8,915.3,977.9,1052.0,1148.5,1308.6,1918.8,8912.6,28177.7,34947.8,35000
read,756.0,810.7,160.7,253.3,295.2,636.4,810.6,921.7,1013.7,1123.7,1256.8,1498.5,2248.5,13049.6,31858.9,40151.8,40000
read,1502.2,1166.3,173.5,814.6,1076.6,1309.0,1379.0,1451.3,1519.4,1985.1,2443.7,2631.6,3131.7,20206.2,35041.3,43239.2,45000
read,1609.0,1240.0,187.4,1191.0,1218.3,1364.5,1438.2,1482.0,1552.9,1995.0,2567.0,2727.4,3184.1,22665.8,34177.6,42581.8,50000
read,1663.5,1286.6,202.4,1219.1,1265.2,1410.8,1477.8,1536.9,1601.3,2012.9,2634.9,2807.4,3286.8,24918.4,36564.2,41484.0,55000
