#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,402.7,513.3,173.5,239.9,266.6,376.4,409.8,428.9,442.3,459.0,479.0,513.4,681.4,6749.6,28728.6,4972.2,5000
read,440.2,333.2,160.7,231.5,251.5,426.2,486.6,518.2,540.8,568.4,602.9,658.5,788.7,4254.1,14521.7,9895.2,10000
read,494.7,453.4,160.7,236.7,259.7,459.0,541.3,589.8,627.5,672.5,729.1,807.9,997.6,5842.2,22285.5,15152.8,15000
read,521.1,390.8,160.7,238.6,262.9,479.7,572.2,632.2,683.2,743.7,814.7,911.2,1128.6,3925.3,13440.2,19939.8,20000
read,550.0,321.3,160.7,238.4,265.5,512.2,611.8,676.5,729.6,793.4,866.5,980.2,1218.5,3534.5,10182.7,24961.0,25000
read,570.6,325.6,160.7,239.7,269.9,546.0,649.6,709.8,754.5,810.2,881.7,986.0,1167.0,3617.2,10797.6,30047.8,30000
read,590.6,357.2,160.7,240.1,270.9,551.2,680.1,748.4,796.1,852.3,925.0,1033.5,1262.1,4565.6,12666.9,35121.8,35000
read,603.0,421.8,160.7,241.8,271.0,544.6,676.6,758.6,814.9,877.3,965.0,1098.7,1460.1,5456.2,13750.1,39851.8,40000
read,637.2,442.7,160.7,255.6,293.1,594.6,733.2,803.8,853.8,912.0,986.7,1097.7,1394.9,4752.5,16988.3,44965.6,45000
read,1298.9,855.8,173.5,839.3,952.3,1137.5,1203.5,1262.4,1352.4,1931.8,2117.5,2266.9,2497.9,12911.1,29931.0,49443.3,50000
read,1307.8,894.6,187.4,922.6,968.9,1119.1,1177.9,1242.0,1355.7,1960.9,2105.4,2222.3,2411.3,15644.0,29930.1,51138.8,55000
