#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,394.9,370.9,173.5,234.5,263.3,374.6,408.7,427.8,441.0,457.9,477.3,509.2,623.4,7488.6,12120.5,4987.8,5000
read,451.2,304.5,160.7,233.8,254.7,436.2,501.2,535.6,559.8,588.1,626.1,682.9,813.9,5686.6,9872.7,10002.8,10000
read,485.5,250.3,160.7,233.6,257.6,463.2,545.9,592.6,628.7,671.4,724.3,801.5,982.2,2239.8,9617.8,15017.8,15000
read,533.6,386.2,160.7,234.4,262.7,500.7,587.6,641.8,687.6,741.9,805.9,903.4,1117.7,4729.5,13269.8,19889.4,20000
read,550.1,336.1,160.7,234.6,262.6,520.5,616.5,676.5,725.1,784.7,859.5,967.2,1186.8,2700.9,12813.1,25073.6,25000
read,576.1,518.7,160.7,234.0,261.8,522.5,634.0,706.2,760.9,827.4,911.6,1039.6,1387.6,5651.3,27895.7,29928.4,30000
read,582.8,355.9,160.7,236.8,265.1,535.5,659.6,734.9,789.6,854.0,934.7,1062.1,1411.2,3136.9,12787.2,35075.2,35000
read,601.5,404.3,160.7,236.3,268.0,550.5,687.8,768.3,822.9,884.9,960.5,1083.4,1380.9,3808.9,14478.4,40102.6,40000
read,617.7,408.6,160.7,243.5,280.5,579.8,716.3,787.2,836.0,890.8,959.6,1071.1,1301.3,4128.9,17720.2,44944.8,45000
read,646.5,415.8,160.7,255.3,300.0,585.0,732.7,814.4,871.7,938.8,1025.5,1172.7,1552.9,3859.5,14719.7,49856.8,50000
read,1326.3,830.5,160.7,958.8,1011.0,1141.5,1190.8,1250.8,1316.3,2024.7,2147.2,2276.7,2469.4,12464.6,30802.4,50293.6,55000
