Total number of intervals = 450 
Timestamp start: 1715967267448
Timestamp end: 1715968168362

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      329.7   221.4    68.9   130.7   151.7   298.3   368.1   411.2   445.9   489.1   545.2   632.7   804.9  1400.7  6821.0  99112.0    99068
read      325.4   262.7    68.9   122.2   140.4   297.6   367.3   407.1   437.2   472.4   519.2   590.0   889.0  1981.8 11034.8  51639.5    51267
read      306.2   553.2    80.4   128.6   145.1   276.7   316.3   337.5   353.4   373.9   403.6   457.4   825.8  7713.6 29082.9  11940.5    11822
read      370.3   291.4    74.4   136.9   160.5   326.1   402.8   450.0   487.0   535.8   604.7   720.4  1141.3  2773.3  9659.3  97360.0    97494
read      365.2   440.0    68.9   131.2   152.8   310.2   381.1   426.4   464.2   514.7   582.0   686.2  1426.9  4682.8 18270.1  97581.0    97350
read      332.5   237.3    68.9   121.6   139.4   301.9   377.1   421.8   454.5   493.2   542.4   617.9   941.4  2148.3  6970.7  55706.5    55460
read      365.1   327.2    68.9   129.9   150.7   313.7   391.1   439.9   478.5   528.4   593.3   704.1  1420.5  3449.3  7809.2  85945.0    85984
read      358.2   277.8    74.4   125.9   146.2   309.4   386.9   435.4   473.2   521.4   585.1   695.8  1463.7  2893.5  6084.3  81810.5    82043
read      346.0   255.1    74.4   123.4   141.8   314.7   391.7   435.6   469.1   509.0   559.8   636.7  1021.5  2534.5  7618.6  52952.0    52873
read      317.7   677.5    74.4   123.3   140.0   286.2   338.2   366.7   387.6   411.7   444.1   504.3   877.9  7021.4 38859.3  13917.0    13911
read      383.7   426.4    74.4   124.3   143.4   308.0   386.5   435.9   475.2   525.3   596.4   884.0  1801.8  5086.9  9384.1  50109.5    49984
read      516.6  1714.1    74.4   128.3   151.2   317.9   377.7   411.9   438.0   469.4   511.8   635.7  6897.6 35483.8 38151.4   9291.0     9274
read      588.2  1453.5    74.4   123.2   142.9   334.4   485.2   628.8   730.8   836.9   953.9  1149.7  6116.5 23921.4 40549.4  26948.5    27187
read      621.7  1862.7    74.4   123.0   143.0   347.9   468.9   548.8   604.5   665.2   742.1   918.7  8657.0 30867.4 40079.4  18815.5    18735
read      440.3   635.0    68.9   131.2   154.7   332.3   409.5   467.1   518.3   589.5   688.5  1095.2  2060.3  8384.3 30371.4  86488.0    86505
read      519.5   695.2    74.4   159.0   202.6   452.3   537.5   583.9   625.0   691.5   840.2  1028.0  1626.1  9722.8 29278.1  93132.0    93039
read      464.8   581.2    74.4   149.8   178.3   393.6   484.5   539.8   582.7   639.5   736.9   924.1  1811.3  6785.1 27455.5  76038.0    75999
read      420.8   559.1    74.4   126.4   146.1   326.0   424.7   488.6   542.2   616.6   732.9   974.7  1645.8  7303.8 19775.1  32373.5    32324
read      365.1   342.3    74.4   133.2   154.6   318.8   395.7   441.5   476.9   523.1   586.1   697.8  1104.8  4401.0  9333.1  84126.5    84255
read      355.7   239.5    74.4   133.4   154.4   319.5   399.1   449.1   486.6   531.2   589.4   682.3   923.0  2114.0  7317.9  81735.0    81759
read      376.8   344.2    74.4   121.6   139.7   310.0   390.8   442.5   483.8   534.7   610.7   889.8  1574.0  3524.8  9272.1  37317.0    37291
read      354.1   314.4    68.9   123.8   142.6   311.8   389.8   434.3   467.4   509.4   564.3   669.9  1283.5  3209.7  8682.0  54157.0    53818
read      462.2  1023.2    74.4   122.2   140.6   299.5   387.8   458.7   528.8   670.0   874.1  1077.3  2583.6 11654.0 37855.3  30288.0    30297
