#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,421.8,505.3,187.4,257.6,280.3,385.4,422.6,441.9,457.0,472.0,497.8,537.3,806.6,8084.4,16156.3,4945.2,5000,1714206446885,1714206452317
read,439.7,388.6,160.7,236.6,255.2,430.3,493.8,524.7,544.8,569.3,596.1,638.1,760.2,3357.2,17554.5,10026.5,10000,1714206453821,1714206459204
read,439.5,235.4,160.7,227.6,244.8,426.4,516.4,556.9,582.9,612.4,646.3,697.7,806.4,2642.6,7843.7,14900.6,15000,1714206460709,1714206466047
read,466.0,301.9,160.7,225.0,244.8,430.1,540.2,595.2,630.8,672.0,721.5,792.6,938.9,2008.0,11507.7,20038.2,20000,1714206467551,1714206472873
read,482.9,314.6,160.7,225.8,247.1,443.0,550.1,609.2,650.3,698.7,754.3,840.4,1028.0,2615.3,10936.2,25007.2,25000,1714206474377,1714206479695
read,478.1,300.0,160.7,222.3,242.7,440.6,541.8,599.4,640.9,691.1,750.9,833.7,1014.5,1728.5,12660.4,29737.2,30000,1714206481198,1714206486513
read,484.7,300.5,148.8,222.8,242.2,449.2,548.7,607.7,650.2,702.1,765.6,855.7,1060.1,2092.3,12226.3,34972.8,35000,1714206488016,1714206493311
read,472.6,256.3,160.7,221.0,239.3,443.1,539.9,595.2,636.6,686.9,746.7,830.9,1003.7,1474.7,11514.2,40009.0,40000,1714206494816,1714206500125
read,479.3,272.5,160.7,223.2,242.1,447.2,549.8,605.9,646.2,697.0,760.3,852.9,1020.8,1452.3,12186.6,44964.2,45000,1714206501629,1714206506954
read,471.1,268.9,160.7,222.2,241.5,433.7,534.8,593.5,636.6,688.7,752.2,842.9,1012.3,1671.4,8768.9,50196.8,50000,1714206508458,1714206513754
read,482.4,312.2,160.7,224.6,244.9,436.9,540.9,602.8,648.6,704.4,774.7,876.9,1095.2,1650.7,12650.2,54997.8,55000,1714206515258,1714206520558
read,520.5,334.2,160.7,229.9,252.5,453.8,571.8,639.9,693.8,760.3,854.0,1020.5,1408.6,2467.2,9159.4,59900.2,60000,1714206522063,1714206527361
read,472.3,259.6,160.7,230.3,252.1,427.8,529.0,590.5,635.1,686.9,748.8,841.5,1017.4,1457.0,8975.0,64848.5,65000,1714206528865,1714206534170
read,477.9,267.7,160.7,233.1,256.5,433.0,534.0,593.6,637.5,689.5,753.7,847.5,1039.9,1417.1,10073.6,69779.4,70000,1714206535674,1714206540979
read,481.2,288.9,160.7,237.7,263.8,437.9,533.6,592.4,636.9,687.5,747.4,837.3,1013.0,1330.5,12440.4,74920.0,75000,1714206542483,1714206547790
read,699.1,369.1,160.7,336.1,396.0,619.4,720.5,841.5,954.5,1057.1,1154.1,1256.6,1397.7,2294.0,12185.8,79943.6,80000,1714206549293,1714206554591
read,858.3,436.6,173.5,555.0,586.8,715.1,794.9,1131.2,1222.0,1289.9,1354.6,1437.0,1570.3,4644.1,15602.8,75934.4,85000,1714206556094,1714206561395
read,847.8,421.1,173.5,555.7,586.2,701.9,778.8,1120.9,1218.5,1282.5,1338.8,1405.4,1534.2,3984.9,15134.9,77449.3,90000,1714206562898,1714206568197
read,840.6,453.6,173.5,554.0,581.5,691.8,761.1,1116.6,1210.4,1269.0,1326.1,1382.7,1496.7,4559.1,17109.8,78328.6,95000,1714206569701,1714206574998
read,871.1,461.1,187.4,581.4,608.7,719.8,786.4,1153.0,1259.1,1320.6,1373.1,1447.9,1575.1,5384.5,16212.2,75732.4,100000,1714206576502,1714206581804
read,831.9,431.9,173.5,533.4,563.4,682.9,781.8,1117.2,1191.2,1243.0,1298.3,1366.4,1490.1,4533.5,15890.8,79109.6,105000,1714206583306,1714206588607
read,838.3,415.3,202.4,529.2,562.7,695.0,790.7,1098.7,1188.9,1256.3,1322.5,1389.3,1527.6,4563.4,14145.9,78472.6,110000,1714206590111,1714206595415
read,838.8,432.0,160.7,544.5,570.7,685.4,780.0,1134.1,1204.0,1253.4,1308.1,1371.5,1487.4,4639.5,15432.9,78505.8,115000,1714206596918,1714206602216
read,821.6,418.2,202.4,525.0,555.8,672.4,786.1,1109.1,1169.9,1223.4,1273.8,1347.5,1480.7,3954.8,15706.9,80046.4,120000,1714206603720,1714206609021
read,847.7,465.2,187.4,556.9,584.5,689.5,775.5,1145.4,1219.7,1272.2,1325.9,1379.8,1495.7,4020.4,19105.8,77778.4,125000,1714206610525,1714206615833
