#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,395.4,406.6,187.4,249.5,269.4,365.5,398.7,417.1,429.5,445.0,465.2,500.5,1221.0,5785.8,18337.7,4910.4,5000,1714206208090,1714206213627
read,448.2,317.5,173.5,242.9,261.7,436.7,499.2,530.0,550.0,576.0,607.1,658.7,796.4,4056.6,12442.5,9978.8,10000,1714206215132,1714206220515
read,460.2,267.3,160.7,239.4,258.7,442.1,532.0,573.1,600.5,632.3,673.7,736.5,873.6,2927.1,11188.9,14955.1,15000,1714206222019,1714206227349
read,456.0,322.1,160.7,230.7,250.7,421.2,520.2,569.9,603.4,640.4,687.2,751.7,901.0,3641.8,14501.5,20059.2,20000,1714206228853,1714206234196
read,452.9,293.0,160.7,222.6,242.2,415.2,512.1,567.4,605.5,648.9,701.9,773.6,916.2,2185.8,11623.1,25034.2,25000,1714206235700,1714206241048
read,468.3,256.1,160.7,223.7,243.8,435.8,525.7,580.3,621.1,671.3,732.2,809.4,968.5,1457.7,9638.5,30091.6,30000,1714206242552,1714206247877
read,470.5,281.0,160.7,221.4,239.8,442.6,530.6,583.1,624.2,675.3,736.0,813.7,964.3,2250.1,12267.0,35056.6,35000,1714206249381,1714206254724
read,473.3,290.4,160.7,222.7,240.9,441.9,536.3,590.2,630.4,681.4,743.7,832.1,1009.1,1620.7,12911.5,40045.4,40000,1714206256227,1714206261527
read,483.4,260.6,160.7,222.7,241.6,448.8,552.1,610.9,653.9,705.9,772.3,866.9,1078.2,1510.5,7983.2,44795.6,45000,1714206263031,1714206268330
read,486.3,272.0,160.7,225.9,246.1,446.3,554.9,615.9,659.4,712.4,779.9,875.5,1084.2,1583.3,8062.4,50073.2,50000,1714206269834,1714206275154
read,478.4,258.7,160.7,223.1,243.1,435.7,541.9,602.1,645.0,700.4,770.7,868.9,1066.4,1534.2,8680.7,55028.2,55000,1714206276658,1714206281956
read,473.2,268.7,148.8,225.5,245.9,430.0,533.1,592.8,636.5,689.4,754.9,851.0,1038.4,1441.2,11520.1,59982.2,60000,1714206283460,1714206288753
read,469.2,267.9,160.7,226.2,246.6,426.5,525.2,585.3,630.4,682.8,745.5,838.5,1011.4,1496.5,10184.3,65076.8,65000,1714206290257,1714206295555
read,464.5,241.3,160.7,227.6,249.1,422.8,520.5,580.2,623.6,674.6,735.5,821.9,989.8,1300.2,8304.3,69941.2,70000,1714206297059,1714206302363
read,502.2,270.8,160.7,244.2,272.8,453.8,554.2,621.5,670.1,724.2,789.4,887.5,1083.5,1634.3,10315.2,75090.5,75000,1714206303866,1714206309173
read,805.6,400.2,218.6,487.5,525.6,674.8,818.2,1048.8,1128.7,1193.9,1257.5,1340.9,1480.5,3959.8,13756.9,77952.1,80000,1714206310678,1714206315990
read,784.7,382.6,202.4,473.5,511.1,650.0,874.2,1042.5,1106.4,1157.7,1213.2,1274.8,1385.1,3733.6,12637.1,80990.8,85000,1714206317493,1714206322796
read,832.1,408.4,173.5,531.0,563.5,681.2,785.7,1121.9,1198.2,1248.9,1302.2,1361.1,1473.9,3931.0,14718.7,78552.4,90000,1714206324299,1714206329592
read,780.6,396.4,173.5,486.0,516.6,639.3,838.5,1047.0,1105.0,1154.6,1208.7,1272.5,1380.7,3281.1,15156.4,83270.6,95000,1714206331095,1714206336398
read,832.5,397.9,173.5,534.9,564.1,682.1,786.3,1126.8,1194.4,1244.8,1299.0,1365.8,1484.7,3843.5,14713.3,78826.0,100000,1714206337902,1714206343200
read,854.0,437.3,173.5,556.9,586.1,694.6,787.9,1163.0,1229.0,1282.6,1334.9,1388.7,1495.1,3957.2,16221.9,77041.4,105000,1714206344703,1714206350006
read,864.7,481.0,173.5,560.5,593.6,710.4,795.6,1157.7,1236.4,1297.6,1351.8,1425.5,1568.2,5319.0,17838.1,76318.4,110000,1714206351509,1714206356809
read,829.7,426.3,187.4,536.2,563.1,677.4,784.8,1122.4,1190.0,1238.5,1288.6,1360.2,1489.8,4005.3,16516.6,79292.4,115000,1714206358312,1714206363612
read,814.3,640.0,173.5,512.4,541.8,668.9,804.8,1090.5,1150.6,1206.4,1261.0,1334.5,1461.2,3890.9,18465.2,80747.6,120000,1714206365116,1714206370415
read,841.5,445.5,173.5,535.6,567.2,689.1,792.3,1125.3,1202.5,1257.7,1315.5,1375.5,1492.6,4508.2,16195.3,78353.5,125000,1714206371920,1714206377230
