#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,450.5,286.8,187.4,266.4,305.8,446.0,484.2,505.8,523.1,542.0,569.1,610.1,688.0,1319.8,11753.3,4929.4,5000,1713950536147,1713950541648
read,479.0,230.9,173.5,242.5,262.7,482.1,546.8,580.8,604.3,631.0,666.3,720.4,837.5,3389.9,7735.9,10013.6,10000,1713950543170,1713950548623
read,507.9,470.2,173.5,241.3,261.1,500.6,594.8,639.1,670.8,706.0,748.3,811.0,934.5,1221.1,20286.9,15027.2,15000,1713950550128,1713950555518
read,498.6,226.1,173.5,237.4,256.5,476.3,585.9,640.6,680.4,724.7,778.4,853.0,999.6,1276.4,5405.8,19953.0,20000,1713950557023,1713950562407
read,489.6,242.9,173.5,233.7,253.0,455.1,562.7,624.1,668.4,719.7,780.5,862.2,1015.4,1306.1,4034.6,24981.2,25000,1713950563912,1713950569286
read,503.2,465.1,173.5,234.1,254.2,461.9,572.1,635.8,684.7,741.5,806.0,899.5,1089.4,1494.0,7748.1,29891.8,30000,1713950570790,1713950576134
read,502.3,307.4,173.5,232.9,252.1,457.5,565.5,631.3,683.0,744.2,820.9,927.7,1134.5,1614.1,11438.2,35055.6,35000,1713950577638,1713950582973
read,505.8,339.9,173.5,234.7,254.2,461.8,569.2,632.9,682.8,741.9,816.3,925.1,1142.7,1859.3,15061.3,40019.8,40000,1713950584478,1713950589862
read,490.4,245.6,173.5,232.1,251.9,449.6,554.8,616.7,663.3,721.6,794.0,898.2,1096.7,1425.4,6713.1,45075.2,45000,1713950591366,1713950596735
read,516.3,298.0,173.5,240.2,263.1,477.9,586.5,648.1,694.0,748.6,820.9,929.4,1144.3,1567.7,7705.7,50065.2,50000,1713950598240,1713950603594
read,496.7,231.9,173.5,234.1,256.0,453.9,561.1,624.8,672.1,730.2,801.9,909.5,1103.8,1461.0,3923.2,54859.8,55000,1713950605098,1713950610475
read,489.3,232.5,160.7,234.8,257.1,449.1,549.9,609.8,654.0,709.3,780.5,882.4,1089.9,1458.4,4067.3,60056.6,60000,1713950611978,1713950617346
read,493.6,223.6,160.7,239.3,264.2,452.7,551.3,611.9,655.6,709.2,780.9,883.9,1094.6,1389.7,3568.8,64882.5,65000,1713950618850,1713950624206
read,516.5,210.3,160.7,250.8,281.4,479.6,578.7,635.9,681.3,736.1,803.9,904.7,1106.1,1374.2,2566.4,69981.0,70000,1713950625710,1713950631066
read,892.4,373.3,173.5,540.4,581.5,764.6,909.6,1147.0,1241.1,1323.9,1408.7,1512.4,1690.9,1878.2,8483.6,71651.5,75000,1713950632569,1713950637924
read,948.4,483.0,202.4,601.9,642.7,798.0,895.8,1242.3,1354.7,1433.8,1506.2,1592.3,1731.8,2001.2,15335.0,68864.0,80000,1713950639428,1713950644778
read,929.3,428.2,173.5,607.8,646.6,777.3,862.8,1241.0,1340.9,1410.0,1468.3,1549.7,1685.2,1965.9,14762.9,70332.1,85000,1713950646282,1713950651645
read,906.0,338.2,173.5,584.0,617.7,751.7,863.1,1226.9,1306.2,1364.3,1426.8,1491.8,1613.0,1845.2,5543.0,71951.0,90000,1713950653150,1713950658510
read,976.9,425.7,173.5,604.2,646.7,837.2,965.9,1247.1,1358.1,1451.4,1547.5,1662.7,1843.3,2138.5,12376.6,67017.3,95000,1713950660015,1713950665372
read,886.1,403.0,173.5,543.7,582.8,746.4,904.6,1144.2,1238.1,1316.0,1388.8,1489.2,1697.2,1983.4,14018.7,73750.4,100000,1713950666877,1713950672242
read,894.2,377.1,173.5,577.7,610.8,739.5,850.6,1216.6,1293.3,1346.0,1403.3,1475.6,1603.0,1836.0,7948.1,73070.8,105000,1713950673746,1713950679106
read,904.8,402.7,202.4,595.9,624.1,748.7,843.7,1218.8,1306.9,1365.0,1426.9,1490.8,1614.8,1959.3,13550.5,72172.3,110000,1713950680610,1713950685972
read,908.6,409.0,218.6,594.1,622.7,751.2,860.7,1230.3,1309.6,1364.8,1427.0,1493.6,1631.7,1976.7,14275.0,71910.6,115000,1713950687476,1713950692834
read,903.3,357.6,187.4,574.5,610.4,746.9,873.2,1230.0,1300.9,1353.8,1412.2,1479.4,1604.1,1837.3,9125.3,72188.8,120000,1713950694339,1713950699697
read,895.1,436.1,187.4,541.0,581.4,747.8,985.1,1191.6,1259.5,1322.3,1382.3,1469.3,1612.9,2144.0,15295.1,73035.0,125000,1713950701202,1713950706559
