#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,406.3,118.5,187.4,275.1,308.5,400.9,429.7,446.1,458.2,470.4,495.6,540.3,667.7,1028.5,3983.9,4906.4,5000,1713953571321,1713953576805
read,422.1,167.2,187.4,251.1,271.6,428.8,470.0,491.9,505.7,524.7,545.9,581.8,667.5,955.7,7936.8,10013.8,10000,1713953578314,1713953583770
read,430.0,198.8,173.5,237.2,254.8,439.5,502.3,532.4,551.7,573.0,594.2,632.3,719.3,859.9,1736.7,14958.0,15000,1713953585274,1713953590653
read,438.2,174.7,173.5,232.5,249.2,433.8,522.0,560.5,583.1,608.9,637.8,687.0,789.3,1003.0,5615.5,19938.6,20000,1713953592157,1713953597509
read,424.7,221.0,173.5,227.0,242.6,391.8,505.6,554.0,581.9,611.3,642.1,688.3,784.2,1037.8,4486.7,24951.6,25000,1713953599012,1713953604406
read,420.7,188.7,173.5,225.7,241.0,373.4,494.7,551.5,584.8,618.1,654.9,706.0,803.1,1085.1,5683.7,30046.0,30000,1713953605909,1713953611298
read,412.8,173.7,173.5,223.4,238.1,367.2,474.1,534.7,572.7,610.0,649.9,704.0,805.0,1013.2,2248.1,35251.8,35000,1713953612802,1713953618174
read,409.9,168.5,160.7,223.9,238.8,360.7,460.8,526.7,571.9,614.4,657.5,712.2,806.2,988.6,1987.9,39945.8,40000,1713953619677,1713953625030
read,410.1,275.0,160.7,223.9,238.7,359.4,450.4,513.7,562.7,611.1,661.4,722.9,822.6,996.5,11591.4,44980.6,45000,1713953626534,1713953631901
read,402.3,163.6,160.7,222.9,237.5,355.5,440.4,499.6,547.2,598.4,650.6,714.0,823.5,1049.9,1886.0,49997.8,50000,1713953633406,1713953638765
read,396.6,194.2,173.5,223.1,237.5,351.8,429.7,483.0,528.3,581.4,635.7,698.3,800.8,995.7,7570.3,54984.0,55000,1713953640269,1713953645626
read,395.7,156.7,160.7,224.7,239.4,353.5,431.6,482.3,524.3,575.1,630.1,695.7,806.3,1025.9,1886.6,59949.2,60000,1713953647130,1713953652489
read,388.2,174.2,160.7,223.0,237.3,348.3,420.7,467.2,505.7,555.0,611.3,681.3,796.4,992.5,4093.0,64817.8,65000,1713953653993,1713953659345
read,387.8,146.9,173.5,225.0,239.9,351.6,423.2,466.4,501.0,544.7,598.0,672.3,794.9,1003.4,1747.2,69915.4,70000,1713953660849,1713953666208
read,386.8,185.6,173.5,224.5,239.3,350.9,421.3,463.9,497.4,539.7,592.4,667.3,794.1,1006.9,2605.9,74828.6,75000,1713953667712,1713953673059
read,381.7,140.7,173.5,224.4,239.2,349.6,415.6,455.4,486.3,525.6,577.9,653.4,789.2,993.3,2031.0,80014.8,80000,1713953674564,1713953679913
read,387.5,148.7,173.5,227.8,243.4,357.0,423.3,462.2,492.4,529.9,578.8,650.7,793.5,1013.2,2021.5,85036.4,85000,1713953681418,1713953686769
read,382.4,162.9,160.7,226.9,242.4,353.3,416.9,454.2,482.6,518.5,566.6,636.7,778.0,986.8,2120.0,89793.9,90000,1713953688274,1713953693612
read,391.9,155.0,160.7,228.5,245.0,362.4,426.0,464.4,494.4,531.2,579.8,656.7,832.0,1093.5,2482.6,95133.0,95000,1713953695117,1713953700469
read,430.0,170.7,173.5,242.2,263.4,400.4,466.9,507.6,540.3,580.7,634.6,728.1,915.8,1173.8,2137.8,99599.6,100000,1713953701973,1713953707335
read,455.8,210.5,160.7,248.4,272.5,421.6,495.8,542.7,580.4,627.1,687.9,783.4,958.4,1205.4,3523.0,104844.8,105000,1713953708840,1713953714186
read,483.8,183.8,173.5,262.4,292.7,454.6,535.2,583.7,619.6,662.2,717.0,796.2,943.3,1135.0,2363.4,109682.4,110000,1713953715691,1713953721062
read,561.7,193.2,173.5,306.1,343.1,537.3,637.2,689.2,725.9,766.8,815.2,885.5,1014.8,1213.6,2678.9,110448.5,115000,1713953722566,1713953727929
read,540.5,204.6,173.5,294.6,330.6,514.9,599.8,647.6,683.3,726.6,782.7,867.3,1038.5,1274.1,4046.6,114994.9,120000,1713953729434,1713953734805
read,582.4,212.0,173.5,317.0,353.3,563.6,658.7,709.4,744.7,787.6,840.1,916.6,1066.3,1282.8,4868.2,110865.8,125000,1713953736310,1713953741673
