#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,436.1,376.6,187.4,262.1,295.1,418.3,455.1,473.9,491.4,509.0,538.0,582.6,684.8,5283.6,16954.9,4948.0,5000,1713951850287,1713951855730
read,495.2,300.2,173.5,248.9,269.6,495.0,563.8,597.8,621.0,645.2,679.3,732.5,849.6,4291.0,10247.6,10057.0,10000,1713951857237,1713951862631
read,484.8,292.8,173.5,240.2,259.0,468.6,563.9,611.2,640.7,674.6,715.7,778.0,905.0,4052.3,10669.4,14953.8,15000,1713951864136,1713951869459
read,487.7,324.4,173.5,237.1,256.8,455.2,563.0,620.4,658.1,700.0,748.9,820.9,966.3,1995.6,12952.9,19928.2,20000,1713951870963,1713951876298
read,488.8,265.4,160.7,233.6,253.8,448.3,551.7,618.6,664.4,716.9,779.1,861.6,1019.9,1549.8,11165.3,25168.4,25000,1713951877801,1713951883140
read,493.8,253.6,173.5,234.3,255.4,454.2,553.5,619.8,667.7,723.1,788.9,871.8,1051.0,1655.4,7935.8,30095.2,30000,1713951884645,1713951889978
read,500.2,301.5,173.5,231.7,251.7,459.2,557.5,620.8,670.3,730.6,803.6,903.6,1118.8,1993.0,10912.0,34786.2,35000,1713951891482,1713951896801
read,504.1,310.8,173.5,236.0,255.7,461.5,569.3,632.7,681.5,740.7,808.7,904.6,1087.8,1643.6,11097.4,39945.4,40000,1713951898306,1713951903609
read,526.8,293.9,173.5,242.8,265.2,476.1,593.3,661.5,713.2,774.7,851.9,970.4,1227.8,2171.7,9792.2,44985.5,45000,1713951905114,1713951910419
read,502.2,288.1,173.5,237.3,257.8,457.5,563.8,628.7,677.1,735.3,808.8,916.2,1119.2,1663.8,9906.4,49825.1,50000,1713951911922,1713951917233
read,496.6,266.7,160.7,237.2,258.4,453.4,558.8,620.8,666.3,721.7,792.3,898.9,1097.6,1513.8,8019.1,55161.2,55000,1713951918739,1713951924048
read,493.3,270.3,160.7,238.6,260.6,450.4,549.1,610.4,654.8,710.5,782.5,883.6,1083.0,1553.1,9884.4,59707.0,60000,1713951925553,1713951930875
read,516.1,310.9,173.5,247.2,273.5,473.2,576.2,635.1,679.1,731.8,800.7,907.3,1120.6,1947.2,12320.8,64926.0,65000,1713951932379,1713951937679
read,744.3,452.0,173.5,291.4,349.8,682.8,785.1,852.9,933.6,1142.8,1305.4,1456.1,1669.9,2268.3,16454.2,70020.6,70000,1713951939182,1713951944489
read,859.0,457.9,187.4,498.4,545.5,729.1,918.9,1101.7,1183.8,1257.0,1334.6,1437.0,1622.6,5037.8,15948.9,72664.4,75000,1713951945993,1713951951294
read,864.6,423.3,187.4,521.8,558.9,723.4,949.5,1131.9,1201.7,1263.6,1335.3,1429.0,1595.8,4025.7,14550.3,75070.0,80000,1713951952798,1713951958105
read,926.5,500.7,173.5,576.8,613.9,768.6,902.7,1229.3,1309.8,1373.6,1445.9,1538.0,1699.7,5294.4,18822.6,70865.8,85000,1713951959610,1713951964911
read,808.2,468.5,173.5,482.6,517.2,667.2,959.8,1070.4,1122.0,1169.9,1226.6,1295.1,1446.2,3800.9,19586.8,80777.0,90000,1713951966415,1713951971728
read,849.6,436.7,173.5,517.0,554.3,700.7,963.7,1132.7,1194.0,1244.9,1300.8,1372.4,1507.8,4606.8,15976.9,77247.2,95000,1713951973233,1713951978539
read,891.6,483.2,202.4,560.4,596.5,733.5,870.3,1196.1,1260.7,1320.9,1378.5,1462.9,1605.3,5780.0,17759.1,74004.0,100000,1713951980044,1713951985352
read,894.7,468.0,187.4,560.1,596.0,736.8,884.3,1195.2,1262.5,1323.7,1382.1,1472.1,1644.4,5389.2,15755.4,73649.0,105000,1713951986857,1713951992162
read,930.1,457.9,187.4,584.7,619.8,775.3,902.0,1222.6,1312.0,1383.9,1455.9,1549.8,1715.5,4803.9,17051.8,70794.4,110000,1713951993665,1713951998976
read,912.1,490.3,187.4,575.3,608.1,746.8,878.5,1217.0,1292.0,1350.9,1416.8,1492.9,1662.0,6078.7,17253.9,72396.0,115000,1713952000480,1713952005786
read,961.0,491.3,202.4,607.4,646.0,796.4,918.9,1274.0,1359.6,1430.9,1497.0,1586.2,1731.3,5385.3,18293.4,68654.4,120000,1713952007290,1713952012600
read,880.9,462.9,187.4,568.5,600.3,716.9,829.1,1206.0,1265.6,1315.1,1360.3,1430.0,1567.3,6233.5,16106.7,74883.0,125000,1713952014104,1713952019415
